Id,Label,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
260,उमंग,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179,0.0010136121273419672,179,0.0,0,0.0
261,बर्तन,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,0.0010136121273419672,180,0.0,0,0.0
262,राज्य,1,2,3,4.0,1.0,3.0,8.0,5.027777777777778,69.0,0.011494253,0.011494253,181,0.008909522655416524,16,0.0,0,0.11899318043067428
263,सर्दी,5,0,5,5.0,5.0,0.0,2.0,1.375,1.3499999999999999,0.01724138,0.01724138,73,0.006065130331334432,41,0.4,4,0.5899369889565359
264,अस्त्रों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182,0.0010136121273419672,181,0.0,0,0.0
265,फर्नीचर,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183,0.0010136121273419672,182,0.0,0,0.0
266,कवियों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,0.0010136121273419672,183,0.0,0,0.0
267,सराय,1,2,3,3.0,1.0,2.0,4.0,3.2083333333333335,2.0,0.00862069,0.00862069,185,0.0065615651484653564,9,0.0,0,0.04795836862303322
268,भरतपुर,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186,0.0010136121273419672,184,0.0,0,0.0
269,लोमड़ी,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,0.0010136121273419672,185,0.0,0,0.0
270,बतख,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188,0.0010136121273419672,186,0.0,0,0.0
271,रहन_सहन,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189,0.0010136121273419672,187,0.0,0,0.0
272,गाय,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,0.0010136121273419672,188,0.0,0,0.0
273,मीनाकारी,2,0,2,2.0,2.0,0.0,6.0,3.111111111111111,152.0,0.00862069,0.00862069,125,0.004801485326724739,16,0.0,0,0.15154248612838464
274,हाथी,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191,0.0010136121273419672,189,0.0,0,0.0
275,शान,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192,0.0010136121273419672,190,0.0,0,0.0
276,भाग,2,7,9,9.0,2.0,7.0,6.0,3.6666666666666665,71.83333333333336,0.02586207,0.02586207,193,0.012202554307342166,16,0.21428571428571427,6,0.8885508090077463
277,हाथीदांत,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194,0.0010136121273419672,191,0.0,0,0.0
278,जयपुर,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195,0.0010136121273419672,192,0.0,0,0.0
279,स्तंभों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196,0.0010136121273419672,193,0.0,0,0.0
280,चिंकारा,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197,0.0010136121273419672,194,0.0,0,0.0
281,गर्मियों,5,0,5,5.0,5.0,0.0,2.0,1.375,1.3499999999999999,0.01724138,0.01724138,73,0.006065130331334432,41,0.4,4,0.5899369889565359
282,श्रमिकों,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,0.0010136121273419672,195,0.0,0,0.0
283,मौसम,4,0,4,4.0,4.0,0.0,2.0,1.5,0.6000000000000001,0.014367816,0.014367816,73,0.0049976887598226685,41,0.5,3,0.49959790094973594
284,आकर्षण,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199,0.0010136121273419672,196,0.0,0,0.0
285,कालीन,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0010136121273419672,0,0.0,0,0.0
286,स्वर्ण,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,0.0010136121273419672,0,0.0,0,0.0
