Source,Target,id,Weight
23,199,1,1
26,71,2,1
26,121,3,1
26,133,4,1
26,180,5,1
26,186,6,1
26,202,7,1
26,230,8,1
26,236,9,1
26,239,10,1
27,128,11,2
31,30,12,1
32,126,13,1
35,77,14,1
35,185,15,1
35,211,16,1
36,35,17,1
36,52,18,1
52,77,19,1
59,28,20,1
94,31,21,1
94,128,22,2
97,117,23,1
114,114,24,1
121,71,25,1
121,121,26,1
121,133,27,1
121,180,28,1
121,186,29,1
121,202,30,1
121,230,31,1
121,236,32,1
121,239,33,1
143,3,34,1
143,4,35,1
143,22,36,1
143,36,37,1
143,41,38,1
143,46,39,1
143,57,40,1
143,86,41,1
143,92,42,1
143,97,43,1
143,103,44,1
143,108,45,1
143,138,46,1
143,140,47,1
143,154,48,1
143,173,49,1
143,190,50,1
143,214,51,1
143,217,52,1
147,88,53,1
147,118,54,1
147,175,55,1
147,182,56,1
147,188,57,1
147,189,58,1
147,208,59,1
147,215,60,1
151,10,61,1
151,59,62,1
151,130,63,1
151,238,64,1
153,79,65,1
153,184,66,1
168,168,67,1
175,136,68,1
175,183,69,1
191,136,70,1
191,183,71,1
196,13,72,1
196,21,73,1
196,29,74,1
196,53,75,1
196,56,76,1
196,74,77,1
196,98,78,1
196,124,79,1
196,155,80,1
196,165,81,1
196,192,82,1
196,194,83,2
196,227,84,1
201,5,85,1
201,178,86,1
202,26,87,1
202,43,88,1
202,54,89,1
202,169,90,1
205,150,91,1
219,134,92,1
224,136,93,1
224,183,94,1
230,71,95,1
230,121,96,1
230,133,97,1
230,180,98,1
230,186,99,1
230,202,100,1
230,230,101,1
230,236,102,1
230,239,103,1
