Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
0,raphtAra,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.41325154641035E-4,0,0.0,0,0.0
1,smAraka,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,7.41325154641035E-4,1,0.0,0,0.0
2,vaMsha,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,7.41325154641035E-4,2,0.0,0,0.0
3,lAsha,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,7.41325154641035E-4,3,0.0,0,0.0
4,saMbaMdha,3.0,1.8,17.0,88,1,2,3,3.0,1.0,2.0,0.008658009,0.008658009,0.00829461648169941,4,0.0,0,0.0212090821268959
5,pUchI,3.0,2.0,0.0,121,1,0,1,1.0,1.0,0.0,0.0043290043,0.0043290043,0.0028910682296563067,5,0.0,0,0.045619856994543205
6,sthAna,3.0,1.4444444444444444,275.5,4,0,22,22,22.0,0.0,22.0,0.04978355,0.04978355,0.031175632468155395,6,0.0,0,1.0
7,vAdA,0.0,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,7.41325154641035E-4,7,0.0,0,0.0
8,pralobhana,0.0,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,7.41325154641035E-4,8,0.0,0,0.0
9,anuShThAna,3.0,2.0,0.0,121,1,0,1,1.0,1.0,0.0,0.0043290043,0.0043290043,0.0028910682296563067,5,0.0,0,0.045619856994543205
10,dakShiNa,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,7.41325154641035E-4,9,0.0,0,0.0
11,dvAra,0.0,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,7.41325154641035E-4,10,0.0,0,0.0
12,samAgama,0.0,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,7.41325154641035E-4,11,0.0,0,0.0
13,vivAha,0.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,7.41325154641035E-4,12,0.0,0,0.0
