Id,Label
1,Shiva_mandira
2,satkaara
3,bhagavaana
4,shuruaata
5,yaada
6,gnaana
7,anubhava
8,khoja
9,tyauhaara
10,baraamadaa
11,naama
12,raajya
13,mandira
14,moorti
15,jariyaa
16,jaala
17,machhuaaraa
18,fala
19,kuladevee
20,nirmaana
21,devee
22,saagavaana
23,naukaa
24,pradarshana
25,sansaara
26,vyavahaarikataa
27,vastu
28,bhavana
29,nivaasa_sthaana
30,mahala
31,chhata
32,sikkaa
33,havaaee_addaa
34,khushaboo
35,dhvani
36,vyaapaaree
37,pranaalee
38,kalaa
39,maheenaa
40,pradaana
41,visheshaadhikaara
42,bhojana
43,drushya
44,makaana
45,sangrahaalaya
46,akshara
47,jala
48,fursata
49,jagaha
50,bhaaga
51,prakaasha
52,shiva
53,pakshee
54,baadala
55,sooraja
56,yuddha
57,varnamaalaa
58,{peda?peda?aa}
59,dakshina_pashchima
60,mahatva
61,shreekrushna
62,{jangalajangalaa}
63,addaa
64,samudra
65,patthara
66,adhikaaansha
67,kabjaa
68,shaasaka
69,laabha
70,raajaa
71,nivaasa
72,vartamaana
73,tasveera
74,aavashyakataa
75,vishvaasa
76,mahilaa
77,samruddhi
78,mana
79,{sosonaa}
80,kaarana
81,daulata
82,vignaanee
83,haathee
84,praaangana
85,bhramana
86,moorti
87,manushya
88,udaaharana
89,batakha
90,saraswatee
91,joona
92,suvidhaa
93,kaksha
94,havaa
95,museebata
96,utsava
97,kaarakhaanaa
98,fasala
99,upanivesha
100,lakshana
101,shahara
102,{ghaatiyaaghaatee}
103,tata
104,kaaryaalaya
105,sanchaara
106,vyavasaaya
107,yuga
108,lakada?ee
109,chitrakaaree
110,sheeshaa
111,kilaa
112,kuttaa
113,parivaara
114,kumudinee
115,foola
116,{nadiyaanadee}
117,machhalee
118,raajadhaanee
119,kshana
120,khajoora
121,gaa?va
122,ghoansalaa
123,kheta
124,naariyala
125,kerala
126,pradooshana
127,garmee
128,mahatva
129,trena
130,charcha
131,pakada?
132,ghantaa
133,chaa?dee
134,kukkoo
135,vikalpa
136,cheela
137,bahaara
138,jalayaana
139,jalavaayu
140,tamilanaadu
141,zeela
142,khoobasooratee
143,visheshataa
144,dveepa
145,sada?ka
146,bheanta
147,tareekaa
148,taada?
149,dakshina
150,dashaharaa
151,daana
152,navanbara
153,dauda?
154,dhaana
155,nahara
156,nrutya
157,kanpanee
158,sthaapatya
159,raajamaarga
160,tantra
161,paryatana
162,varshaa
163,maanasoona
164,peechhaa
165,taraha
166,prakruti
167,pareda
168,pradarshanee
169,swarga
170,swarga
171,bandaragaaha
172,baa?sa
173,viraasata
174,reta
175,ranga
176,desha
177,bheanta
178,naheean
179,mahaabhaarata
180,minata
181,juloosa
182,paryataka
183,darabaara
184,saala
185,saatha
186,daavata
187,bhaarata
188,swaasthya
189,chitraaankana
190,agasta
191,praayadveepa
192,jalamaarga
193,taa?baa
194,avalokana
195,dauraana
196,garva
197,sahana
198,mantraalaya
199,mahaakaavya
200,raajaparivaara
201,sadee
202,kaaryakrama
203,samooha
204,dillee
205,vibhaaga
206,julaaee
207,janavaree
208,faravaree
209,chitrakaara
210,muanbaee
211,disanbara
212,sarakaara
213,relve
214,naveeneekarana
215,sitanbara
216,faishana
217,parichaya
218,raftaara
219,santulana
220,zooma
221,aakarshana
222,faataka
223,raamaayana
224,sthaapanaa
225,sangraha
226,drushyaavalee
227,mishrana
228,{vaseeyatavaseeyatanaamaa}
229,samaya
230,pahu?cha
231,shaastreeya_nrutya
232,shaastreeya_sangeeta
233,ekada?
234,nideshaka
235,kasbaa
236,aktoobara
237,maee
238,gantavya
239,kocheena
240,onama
241,romana
242,purtagaalee
243,dacha
244,{laakhalaakhaa}
245,dhaarana
246,kaalaa
247,deeja?la
248,yahoodee
249,yahoodee
250,abhisheka
251,buddhi
252,ullekha
253,koyambatoora
254,neelagiri
255,aananda
256,mausama
257,itihaasa
258,jeevana
259,abhayaaranya
260,sevaa
261,kathakalee
262,zalaka
263,bhittichitra
264,tarafa
265,haausabota
266,eesta
267,bauchhaara
268,bachchaa
269,ianjana
270,ootee
271,prakruti
272,naukaavihaara
