source,target,id,Label
2,21,1,1
2,35,2,1
2,47,3,1
2,144,4,1
2,193,5,1
3,4,6,1
4,5,7,1
4,111,8,1
5,4,9,1
5,24,10,1
6,8,11,1
6,19,12,1
8,6,13,1
8,19,14,1
8,20,15,1
8,22,16,1
8,26,17,1
8,37,18,1
8,42,19,1
8,47,20,1
8,48,21,1
8,50,22,1
8,60,23,1
8,71,24,1
8,78,25,1
8,83,26,1
8,96,27,1
8,99,28,1
8,105,29,1
8,107,30,1
8,109,31,1
8,111,32,1
8,134,33,1
8,139,34,1
8,157,35,1
8,176,36,1
8,181,37,1
8,190,38,1
8,194,39,1
8,205,40,1
8,206,41,1
8,215,42,1
8,216,43,1
8,218,44,1
8,222,45,1
9,10,46,2
9,94,47,2
9,170,48,1
10,3,49,1
10,9,50,2
10,11,51,1
10,45,52,1
10,59,53,1
10,62,54,1
10,73,55,1
10,74,56,1
10,77,57,1
10,101,58,1
10,103,59,1
10,140,60,2
10,166,61,1
10,170,62,1
10,178,63,1
10,226,64,1
12,113,65,1
12,134,66,1
12,215,67,1
13,16,68,1
15,196,69,1
16,13,70,1
17,30,71,1
17,64,72,1
17,65,73,1
17,66,74,1
17,70,75,1
17,88,76,1
17,95,77,1
17,125,78,1
17,128,79,1
17,132,80,1
17,137,81,1
17,143,82,1
17,146,83,1
17,147,84,1
17,151,85,1
17,153,86,1
17,155,87,1
17,156,88,1
17,177,89,1
17,183,90,1
17,186,91,1
17,187,92,1
17,189,93,1
17,214,94,1
17,218,95,1
17,219,96,1
19,6,97,1
19,8,98,1
19,20,99,1
19,22,100,1
19,26,101,1
19,37,102,1
19,42,103,1
19,47,104,1
19,48,105,1
19,50,106,1
19,60,107,1
19,71,108,1
19,78,109,1
19,83,110,1
19,96,111,1
19,99,112,1
19,105,113,1
19,107,114,1
19,109,115,1
19,111,116,1
19,134,117,1
19,139,118,1
19,157,119,1
19,176,120,1
19,181,121,1
19,190,122,1
19,194,123,1
19,205,124,1
19,206,125,1
19,215,126,1
19,216,127,1
19,218,128,1
19,222,129,1
20,8,130,1
20,19,131,1
21,2,132,1
21,130,133,1
21,217,134,1
22,8,135,1
22,19,136,1
23,33,137,1
24,4,138,1
24,23,139,1
24,52,140,1
24,63,141,1
24,87,142,1
24,89,143,1
24,137,144,1
24,176,145,1
24,184,146,1
24,202,147,1
26,8,148,1
26,19,149,1
27,30,150,1
30,17,151,1
30,27,152,1
30,63,153,1
30,69,154,1
30,145,155,1
30,184,156,1
30,224,157,1
32,31,158,1
33,23,159,1
35,2,160,1
37,8,161,1
37,19,162,1
37,31,163,1
39,5,164,1
39,200,165,1
40,52,166,2
42,8,167,1
42,19,168,1
45,10,169,1
46,107,170,1
47,2,171,1
48,8,172,1
48,19,173,1
49,136,174,2
50,8,175,1
50,19,176,1
52,40,177,2
53,140,178,1
53,202,179,1
53,205,180,1
53,212,181,1
54,102,182,1
55,4,183,1
55,168,184,1
60,8,185,1
60,19,186,1
60,174,187,1
61,73,188,1
64,17,189,1
65,17,190,1
65,187,191,1
66,17,192,1
67,75,193,1
69,30,194,1
70,17,195,1
71,8,196,1
71,19,197,1
71,75,198,1
73,10,199,1
73,61,200,1
75,5,201,1
75,67,202,1
75,87,203,1
76,77,204,1
78,8,205,1
78,19,206,1
82,214,207,1
83,8,208,1
83,19,209,1
86,118,210,1
86,162,211,1
86,211,212,1
87,4,213,1
87,23,214,1
87,24,215,1
87,52,216,1
87,63,217,1
87,89,218,1
87,137,219,1
87,176,220,1
87,184,221,1
87,202,222,1
88,17,223,1
88,137,224,1
90,4,225,1
90,218,226,1
91,103,227,1
91,123,228,1
92,148,229,1
92,218,230,1
94,44,231,1
94,162,232,1
96,8,233,1
96,19,234,1
99,8,235,1
99,19,236,1
101,10,237,1
101,133,238,1
102,18,239,1
102,54,240,1
106,8,241,1
107,8,242,1
107,19,243,1
107,25,244,1
107,46,245,1
108,214,246,1
109,8,247,1
109,19,248,1
110,129,249,1
111,4,250,1
113,12,251,1
113,19,252,1
115,25,253,1
118,86,254,1
128,17,255,1
132,17,256,1
133,101,257,1
134,8,258,1
134,19,259,1
136,49,260,2
137,17,261,1
139,8,262,1
139,19,263,1
139,28,264,1
139,137,265,1
139,190,266,1
139,213,267,1
140,53,268,1
140,152,269,1
144,2,270,1
145,30,271,1
146,17,272,1
147,17,273,1
148,92,274,1
151,17,275,1
152,140,276,1
152,202,277,1
152,205,278,1
152,212,279,1
153,17,280,1
154,211,281,1
155,17,282,1
156,17,283,1
160,196,284,1
162,94,285,1
163,4,286,1
166,10,287,1
168,55,288,1
169,179,289,1
170,10,290,1
171,196,291,1
173,202,292,2
174,60,293,1
176,8,294,1
176,19,295,1
178,10,296,1
183,17,297,1
184,30,298,1
186,17,299,1
187,17,300,1
189,17,301,1
190,8,302,1
190,19,303,1
190,22,304,1
190,139,305,1
202,53,306,1
202,152,307,1
202,173,308,2
205,53,309,1
205,152,310,1
206,8,311,1
206,19,312,1
211,86,313,1
214,82,314,1
214,108,315,1
215,8,316,1
215,19,317,1
216,8,318,1
216,19,319,1
217,21,320,1
219,17,321,1
222,8,322,1
222,19,323,1
224,30,324,1
225,50,325,1
225,216,326,1
226,10,327,1
