Source,Target,id,Weight
0,8,1,1
2,47,2,1
2,169,3,1
2,185,4,1
2,208,5,1
5,265,6,1
13,0,7,1
13,13,8,1
13,22,9,1
13,23,10,1
13,28,11,1
13,39,12,1
13,51,13,1
13,57,14,1
13,117,15,1
13,119,16,1
13,140,17,1
13,175,18,1
13,220,19,1
13,229,20,1
13,235,21,1
13,256,22,1
13,285,23,1
13,309,24,1
13,321,25,1
14,201,26,1
16,97,27,1
20,92,28,1
30,47,29,1
30,169,30,1
30,185,31,1
30,208,32,1
31,78,33,1
31,242,34,1
34,5,35,2
34,178,36,2
36,61,37,1
36,133,38,1
36,156,39,1
36,244,40,1
36,317,41,1
40,14,42,1
40,46,43,1
40,90,44,1
40,111,45,1
40,135,46,1
40,149,47,1
40,182,48,1
40,196,49,1
40,227,50,1
40,231,51,1
40,296,52,1
48,27,53,1
48,48,54,1
48,58,55,1
48,157,56,1
48,170,57,1
48,192,58,1
48,238,59,1
59,176,60,1
61,61,61,1
61,133,62,1
61,156,63,1
61,244,64,1
61,317,65,1
70,70,66,1
77,254,67,1
79,101,68,1
79,115,69,1
79,116,70,2
79,129,71,1
79,151,72,1
79,164,73,1
79,232,74,1
80,201,75,1
81,38,76,1
85,32,77,1
89,280,78,1
89,313,79,1
90,236,80,1
92,92,81,1
99,0,82,1
99,13,83,1
99,22,84,1
99,23,85,1
99,28,86,1
99,39,87,1
99,51,88,1
99,57,89,1
99,117,90,1
99,119,91,1
99,140,92,1
99,175,93,1
99,220,94,1
99,229,95,1
99,235,96,1
99,256,97,1
99,285,98,1
99,309,99,1
99,321,100,1
115,206,101,1
115,249,102,1
128,105,103,1
128,197,104,1
130,173,105,1
133,61,106,1
133,133,107,1
133,156,108,1
133,244,109,1
133,317,110,1
138,259,111,1
148,27,112,1
148,58,113,1
148,93,114,1
148,157,115,1
148,170,116,1
148,192,117,1
158,206,118,1
158,249,119,1
163,251,120,1
169,109,121,1
169,137,122,1
170,27,123,1
170,48,124,1
170,58,125,1
170,157,126,1
170,170,127,1
170,192,128,1
170,238,129,1
191,79,130,1
191,83,131,1
191,88,132,1
191,125,133,1
191,128,134,1
191,130,135,1
191,188,136,1
191,190,137,1
191,274,138,1
191,278,139,1
191,282,140,1
191,288,141,1
191,294,142,1
197,105,143,1
197,130,144,2
198,7,145,1
198,9,146,1
198,16,147,1
198,17,148,1
198,19,149,1
198,26,150,1
198,44,151,1
198,60,152,1
198,66,153,1
198,69,154,1
198,74,155,1
198,82,156,1
198,94,157,1
198,95,158,1
198,96,159,1
198,104,160,1
198,106,161,1
198,126,162,1
198,154,163,1
198,163,164,1
198,165,165,1
198,177,166,1
198,179,167,1
198,193,168,1
198,202,169,1
198,213,170,1
198,214,171,1
198,225,172,1
198,226,173,1
198,257,174,1
198,262,175,1
198,263,176,1
198,272,177,1
198,290,178,1
198,295,179,1
198,306,180,1
200,0,181,1
200,21,182,1
200,22,183,1
200,23,184,1
200,28,185,1
200,39,186,1
200,51,187,1
200,57,188,1
200,117,189,1
200,119,190,1
200,140,191,1
200,175,192,1
200,220,193,1
200,229,194,1
200,235,195,1
200,256,196,1
200,285,197,1
200,309,198,1
219,236,199,2
223,8,200,1
231,24,201,1
231,80,202,1
238,101,203,1
238,115,204,1
238,129,205,1
238,151,206,1
238,159,207,1
238,164,208,1
249,147,209,1
249,169,210,1
249,299,211,1
251,251,212,1
254,254,213,1
261,101,214,1
261,115,215,1
261,129,216,1
261,151,217,1
261,159,218,1
261,164,219,1
265,322,220,1
268,103,221,1
268,181,222,1
269,61,223,1
269,133,224,1
269,156,225,1
269,244,226,1
269,317,227,1
270,161,228,1
271,61,229,1
271,133,230,1
271,156,231,1
271,244,232,1
271,317,233,1
278,178,234,2
278,308,235,1
286,286,236,1
291,199,237,1
296,201,238,1
299,147,239,1
304,43,240,1
304,194,241,1
304,302,242,1
314,33,243,1
314,71,244,1
314,228,245,1
314,250,246,1
