id,Label
1,vitamina
2,anaja
3,ahara
4,arambha
5,anupata
6,anubhava
7,anumati
8,arambha
9,kama
10,loka
11,lauha
12,kshamata
13,rakta
14,utaka
15,tatva
16,dudha
17,takata
18,keka
19,sadhana
20,chhilaka
21,anla
22,asthi
23,dasha
24,phala
25,karya
26,muli
27,upachara
28,sanketa
29,padartha
30,vidhi
31,matra
32,purusha
33,samaya
34,vastu
35,naka
36,gathiya
37,namaka
38,ajamoda
39,roga
40,makkhana
41,{masalamasala}
42,kami
43,mansa
44,kriya
45,darda
46,mahina
47,saptaha
48,visheshajna
49,bhojana
50,upayoga
51,ghara
52,pani
53,bhaga
54,chhati
55,sharira
56,antarala
57,dina
58,angura
59,rata
60,parinama
61,prakasha
62,badha
63,mansapeshi
64,samavesha
65,andhera
66,ankha
67,achara
68,hamala
69,adhikata
70,adhyaya
71,adhikansha
72,dhabba
73,adhyayana
74,shotha
75,parivartana
76,eka
77,upayoga
78,tulana
79,mahila
80,artha
81,adata
82,snana
83,karaka
84,sudhara
85,papita
86,vatavarana
87,unra
88,visha
89,drishti
90,putali
91,kathinai
92,peta
93,ashraya
94,arama
95,kaksha
96,alu
97,vayu
98,sankata
99,ayu
100,aushadhi
101,utpada
102,urja
103,gala
104,pyaja
105,vikara
106,jalakumbhi
107,karbohaidreta
108,kela
109,kshaya
110,pradushana
111,gajara
112,gilasa
113,phulagobhi
114,ghanta
115,dhupa
116,tvacha
117,jalaprapata
118,chaya
119,chavala
120,shakkara
121,jalavayu
122,jivana
123,motiyabinda
124,tamatara
125,katara
126,tanava
127,vyayama
128,sabji
129,bukhara
130,sansa
131,avadhi
132,shamana
133,beri
134,kai
135,ardrata
136,gambhirata
137,baingana
138,salaha
139,peya
140,prakara
141,prakriti
142,pravesha
143,rasa
144,vistara
145,vriddhi
146,sujava
147,hastakshepa
148,sangraha
149,rogi
150,bhumika
151,khana
152,matara
153,nahim
154,anta
155,vajana
156,minata
157,kirana
158,ka?pha?i
159,varshom
160,upavasa
161,shayana
162,kabja
163,koti
164,sankramana
165,sankramana
166,satha
167,santara
168,pathyahara
169,sardi
170,bachava
171,seba
172,sthiti
173,svasthya
174,andhapana
175,khira
176,chakotara
177,chukandara
178,khubani
179,duri
180,nimbu
181,panira
182,palaka
183,dabalaroti
184,phalahara
185,pattagobhi
186,sahana
187,shleshma
188,motapa
189,yogadana
190,shabda
191,vilaya
192,sadi
193,salada
194,kuposhana
195,jalana
196,shalagama
197,bara
198,protina
199,masharuma
200,paraheja
201,chija?
202,prayoga
203,poshana
204,manyata
205,mamala
206,dhuam
207,dara
208,sangraha
209,sammishrana
210,aparadarshita
211,paradarshita
212,sapheda
213,dosha
214,aunsa
215,shatavari
216,shvasa
217,nuskha
218,roka
219,ananasa
220,enima
221,durbala
222,nivarana
223,alubukhara
224,amavata
225,saphai
226,lakshana
227,kinvaka
228,sandhi
229,palana
230,shvasanali
231,aiskrima
232,patti
233,samvatana
234,kailshiyama
235,subaha
236,shaili
237,ora
238,lensa
239,anubhava
240,kahu
241,madhuraka
242,ghataka
243,peya
244,kaindi
245,supa
