Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
1,Bhagavaana,1.0,1.0,1.0,0,2,2,4,4.0,2.0,2.0,0.0055555557,0.0055555557,0.008396173412362994,0,0.0,0,0.006013162262805094
2,khoobee,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,1,0.0,0,0.0
3,vyaapaara,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,2,0.0,0,0.0
4,tyauhaara,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,3,0.0,0,0.0
5,loga,7.0,3.8923076923076922,966.6729326229334,25,2,8,10,10.0,2.0,8.0,0.016666668,0.016666668,0.013692528153044408,4,0.07142857142857142,2,0.39117098582120646
6,naama,7.0,4.438461538461539,0.0,27,1,0,1,1.0,1.0,0.0,0.0037037036,0.0037037036,0.0027574090856876173,4,0.0,0,0.03611377068389756
7,raajya,10.0,4.384615384615385,420.6060606060605,100,4,5,9,9.0,4.0,5.0,0.011111111,0.011111111,0.011188404453554941,4,0.1,1,0.07463988613700281
8,daa?ta,0.0,0.0,0.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,5,0.0,0,0.0
9,mandira,9.0,4.223076923076923,129.08333333333334,73,4,3,7,7.0,4.0,3.0,0.009259259,0.009259259,0.006913572066903136,4,0.3333333333333333,2,0.2633574325802953
10,jaina_mandira,10.0,5.2153846153846155,0.0,73,1,1,2,2.0,1.0,1.0,0.0037037036,0.0037037036,0.002332433206378075,4,0.0,0,0.039872702890107345
11,pratimaa,10.0,5.8307692307692305,0.0,17,0,1,1,1.0,0.0,1.0,0.0037037036,0.0037037036,0.0031761529298728833,4,0.0,0,0.010009349557628078
12,sthiti,6.0,3.4461538461538463,2946.617543567541,27,8,13,21,21.0,8.0,13.0,0.025925925,0.025925925,0.028962729353734812,4,0.0,0,0.1629410665649949
13,fala,0.0,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,6,0.0,0,0.0
14,magaramachchha,0.0,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,7,0.0,0,0.0
15,daravaajaa,9.0,4.1,38.913492063492065,73,2,4,6,6.0,2.0,4.0,0.009259259,0.009259259,0.006314315043321649,4,0.3333333333333333,2,0.30717916004034307
16,tarakeeba,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,8,0.0,0,0.0
17,nirmaana,0.0,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,9,0.0,0,0.0
18,prashaasana,0.0,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,10,0.0,0,0.0
19,taalaaba,0.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,11,0.0,0,0.0
20,pahaadaee,1.0,1.0,0.0,32,1,1,2,2.0,1.0,1.0,0.0037037036,0.0037037036,0.005755395637892142,12,0.0,0,0.002696693009010794
21,naava,0.0,0.0,0.0,11,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,13,0.0,0,0.0
22,seeanga,0.0,0.0,0.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,14,0.0,0,0.0
23,jahaan,8.0,3.6769230769230767,118.94386502386494,25,2,1,3,3.0,2.0,1.0,0.0055555557,0.0055555557,0.00388687192856721,4,0.0,0,0.21163661726631774
24,chabootaraa,0.0,0.0,0.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,15,0.0,0,0.0
25,saaanda,0.0,0.0,0.0,14,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,16,0.0,0,0.0
26,{gheragheraa},0.0,0.0,0.0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,17,0.0,0,0.0
27,imaarata,9.0,4.1923076923076925,517.4960317460319,73,6,7,13,13.0,6.0,7.0,0.014814815,0.014814815,0.012731908330775673,4,0.09523809523809523,2,0.3068239366278657
28,mahala,10.0,5.1692307692307695,129.0,73,2,2,4,4.0,2.0,2.0,0.0055555557,0.0055555557,0.004920702763409478,4,0.0,0,0.05140176122194282
29,chhata,9.0,3.7153846153846155,129.08333333333334,73,3,5,8,8.0,3.0,5.0,0.011111111,0.011111111,0.008131666966410205,4,0.5,5,0.4551171600649091
30,deevaara,9.0,4.276923076923077,0.08333333333333333,73,1,3,4,4.0,1.0,3.0,0.0074074073,0.0074074073,0.004654111610712438,4,0.6666666666666666,2,0.29181888655420307
31,maveshee,0.0,0.0,0.0,16,0,0,0,0.0,0.0,0.0,0.0,0.0,8.633093456838235E-4,18,0.0,0,0.0
32,kamala,2.0,1.3333333333333333,0.5,64,2,2,4,4.0,2.0,2.0,0.0055555557,0.0055555557,0.005755395637892144,19,0.0,0,0.009465055943910993
