Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
1,vitamina,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.055236911633322E-4,0,0.0,0,0.0
2,ahara,12.0,4.83453237410072,810.0,51,4,5,9,9.0,4.0,5.0,0.010398613,0.010398613,0.012980098981404998,1,0.0,0,0.038291325985692196
3,bhagavana,7.0,3.964028776978417,1977.1999999999998,60,1,1,2,2.0,1.0,1.0,0.0051993066,0.0051993066,0.004516163808540061,1,0.0,0,0.03380145108576463
4,jnana,8.0,3.3956834532374103,2479.3904761904764,60,8,2,10,10.0,8.0,2.0,0.01559792,0.01559792,0.014515816336725221,1,0.07142857142857142,2,0.10692047467306373
5,anubhava,9.0,3.964028776978417,313.375,60,3,2,5,5.0,3.0,2.0,0.008665511,0.008665511,0.00757758471384878,1,0.16666666666666666,1,0.0535713674765525
6,shodha,11.0,4.028776978417266,0.0,25,2,2,4,4.0,2.0,2.0,0.0051993066,0.0051993066,0.0034276114290474283,1,1.0,1,0.22703895372052577
7,arambha,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,9.055236911633322E-4,2,0.0,0,0.0
8,kama,10.0,3.050359712230216,2630.8607142857136,25,26,33,59,59.0,26.0,33.0,0.060658578,0.060658578,0.050580197622350435,1,0.06060606060606061,34,0.9987858731584871
9,loga,9.0,5.381294964028777,924.0,17,1,3,4,4.0,1.0,3.0,0.006932409,0.006932409,0.007489881280108828,1,0.3333333333333333,1,0.026275804000967393
10,vyakti,8.0,4.496402877697841,3231.7,17,8,16,24,24.0,8.0,16.0,0.029462738,0.029462738,0.03892694915463693,1,0.008333333333333333,1,0.07750779842239602
11,pita,9.0,5.489208633093525,0.0,17,1,0,1,1.0,1.0,0.0,0.0034662045,0.0034662045,0.0029738110303294575,1,0.0,0,0.017121557998791483
12,kshamata,12.0,4.9784172661870505,1.3333333333333333,25,1,3,4,4.0,1.0,3.0,0.006932409,0.006932409,0.005238712299320095,1,0.0,0,0.06889993085154103
13,danta,1.0,1.0,0.0,3,1,1,2,2.0,1.0,1.0,0.0034662045,0.0034662045,0.00603682460775555,3,0.0,0,0.0017443921285516862
14,dugdha,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,9.055236911633322E-4,4,0.0,0,0.0
15,madhyama,2.0,1.6666666666666667,0.0,71,0,1,1,1.0,0.0,1.0,0.0034662045,0.0034662045,0.004189256535234253,5,0.0,0,0.0030567041612852707
16,haddi,1.0,1.0,0.0,3,1,1,2,2.0,1.0,1.0,0.0034662045,0.0034662045,0.00603682460775555,3,0.0,0,0.0017443921285516862
