Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
1,Bhagavaana,11.0,4.666666666666667,1838.0,132,2,1,3,3.0,2.0,1.0,0.005504587,0.005504587,0.004126906219069136,0,0.0,0,0.11091578215171995
2,praaranbha,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,1,0.0,0,0.0
3,smruti,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,2,0.0,0,0.0
4,shodha,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,3,0.0,0,0.0
5,tyauhaara,15.0,7.77536231884058,408.0,132,4,4,8,8.0,4.0,4.0,0.0091743115,0.0091743115,0.010002686362536508,0,0.0,0,0.042431868516946525
6,loga,11.0,4.833333333333333,1085.5000000000002,35,2,3,5,5.0,2.0,3.0,0.0073394496,0.0073394496,0.00618775425548517,0,0.0,0,0.10764218109905267
7,vyakti,10.0,4.0,5389.7619047619055,35,3,12,15,15.0,3.0,12.0,0.02385321,0.02385321,0.02340920994105094,0,0.0,0,0.3514697048197762
8,jalaashaya,10.0,4.963768115942029,1040.0,36,2,2,4,4.0,2.0,2.0,0.005504587,0.005504587,0.0046897337464810885,0,0.0,0,0.19782332417666565
9,naama,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,4,0.0,0,0.0
10,raajya,9.0,3.898550724637681,1844.0119047619064,28,5,6,11,11.0,5.0,6.0,0.014678899,0.014678899,0.011594861392329254,0,0.047619047619047616,1,0.34180038063247625
11,jilaa,9.0,4.673913043478261,554.5023809523813,143,0,10,10,10.0,0.0,10.0,0.020183487,0.020183487,0.01576587681616745,0,0.0,0,0.4940012042255017
12,daa?ta,0.0,0.0,0.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,5,0.0,0,0.0
13,gaaandhee_jayantee,0.0,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,6,0.0,0,0.0
14,swatantrataa_divasa,14.0,6.884057971014493,0.14285714285714285,132,0,2,2,2.0,0.0,2.0,0.005504587,0.005504587,0.00374261967977767,0,0.0,0,0.08156359177357761
15,ganatantra_divasa,14.0,6.884057971014493,0.14285714285714285,132,0,2,2,2.0,0.0,2.0,0.005504587,0.005504587,0.00374261967977767,0,0.0,0,0.08156359177357761
16,mandira,0.0,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,7,0.0,0,0.0
17,pratimaa,15.0,7.717391304347826,0.0,23,0,1,1,1.0,0.0,1.0,0.0036697248,0.0036697248,0.0028894743895776817,0,0.0,0,0.013596199640491176
18,mittee,1.0,1.0,0.0,7,1,1,2,2.0,1.0,1.0,0.0036697248,0.0036697248,0.005483959377841618,8,0.0,0,0.0036756474824905278
19,poo?chha,11.0,4.992753623188406,0.0,35,1,0,1,1.0,1.0,0.0,0.0036697248,0.0036697248,0.0024806500425170086,0,0.0,0,0.07607264665403941
20,jeeva,15.0,9.623188405797102,137.0,36,2,0,2,2.0,2.0,0.0,0.005504587,0.005504587,0.006216224446023244,0,0.0,0,0.01278722448747843
21,kooda,0.0,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,9,0.0,0,0.0
22,kavacha,0.0,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,10,0.0,0,0.0
23,raajya,9.0,3.898550724637681,1844.0119047619064,28,5,6,11,11.0,5.0,6.0,0.014678899,0.014678899,0.011594861392329254,0,0.047619047619047616,1,0.34180038063247625
24,chotee,1.0,1.0,0.0,10,1,1,2,2.0,1.0,1.0,0.0036697248,0.0036697248,0.005483959377841618,11,0.0,0,0.0036756474824905278
25,shikhara,1.0,1.0,0.0,10,1,1,2,2.0,1.0,1.0,0.0036697248,0.0036697248,0.005483959377841618,11,0.0,0,0.0036756474824905278
26,vansha,0.0,0.0,0.0,11,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,12,0.0,0,0.0
27,saagauna,12.0,6.978260869565218,0.0,12,1,0,1,1.0,1.0,0.0,0.0036697248,0.0036697248,0.0031785464894383683,0,0.0,0,0.01407026157284783
28,pahaada?ee,0.0,0.0,0.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,13,0.0,0,0.0
29,naukaa,0.0,0.0,0.0,14,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,14,0.0,0,0.0
30,savaaree,11.0,4.949275362318841,407.0,35,3,0,3,3.0,3.0,0.0,0.0073394496,0.0073394496,0.00734679410031691,0,0.0,0,0.09236904395763677
31,suara,0.0,0.0,0.0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,15,0.0,0,0.0
32,zaada?ee,14.0,8.702898550724637,0.0,130,1,1,2,2.0,1.0,1.0,0.0036697248,0.0036697248,0.0029324159618863326,0,0.0,0,0.012913686715005961
33,galiyaaraa,10.0,5.818840579710145,68.0,16,1,2,3,3.0,1.0,2.0,0.005504587,0.005504587,0.004706252693925039,0,0.0,0,0.03608643696078699
34,nivaasa_sthaana,10.0,5.065217391304348,68.0,27,2,1,3,3.0,2.0,1.0,0.005504587,0.005504587,0.004525027721770958,0,0.0,0,0.20211397987443708
35,mahala,1.0,1.0,0.0,17,1,1,2,2.0,1.0,1.0,0.0036697248,0.0036697248,0.005483959377841618,16,0.0,0,0.0036756474824905278
36,chhata,10.0,5.065217391304348,137.0,27,2,2,4,4.0,2.0,2.0,0.005504587,0.005504587,0.0050723504923724325,0,0.0,0,0.19470786806438092
37,havaaee_addaa,0.0,0.0,0.0,18,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,17,0.0,0,0.0
38,deevaara,0.0,0.0,0.0,19,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,18,0.0,0,0.0
39,kalaa,14.0,6.811594202898551,817.5,23,5,3,8,8.0,5.0,3.0,0.012844036,0.012844036,0.01474355078526798,0,0.0,0,0.06167133567811757
40,baagha,0.0,0.0,0.0,20,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,19,0.0,0,0.0
41,maheenaa,13.0,6.27536231884058,394.25,21,7,1,8,8.0,7.0,1.0,0.014678899,0.014678899,0.011452254248472307,0,0.0,0,0.1404131812727997
42,maheenaa,13.0,6.27536231884058,394.25,21,7,1,8,8.0,7.0,1.0,0.014678899,0.014678899,0.011452254248472307,0,0.0,0,0.1404131812727997
43,bodha,12.0,5.195652173913044,2109.642857142857,132,3,6,9,9.0,3.0,6.0,0.012844036,0.012844036,0.011622178105400251,0,0.0,0,0.1401011295399976
44,praapti,0.0,0.0,0.0,22,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,20,0.0,0,0.0
45,sevaka,11.0,4.992753623188406,0.0,35,1,1,2,2.0,1.0,1.0,0.0036697248,0.0036697248,0.0024806500425170086,0,0.0,0,0.07607264665403941
46,mahaaraajaa,12.0,5.753623188405797,0.0,23,1,1,2,2.0,1.0,1.0,0.0036697248,0.0036697248,0.002770573204215015,0,0.0,0,0.022878824184116086
47,swatantrataa,0.0,0.0,0.0,24,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,21,0.0,0,0.0
48,ghaasa,0.0,0.0,0.0,25,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,22,0.0,0,0.0
49,aayojana,15.0,8.08695652173913,137.0,23,1,2,3,3.0,1.0,2.0,0.005504587,0.005504587,0.005839706320931722,0,0.0,0,0.018763756810009354
50,najaaraa,1.0,1.0,0.0,26,1,1,2,2.0,1.0,1.0,0.0036697248,0.0036697248,0.005483959377841618,23,0.0,0,0.0036756474824905278
51,shrenee,15.0,8.08695652173913,137.0,23,1,1,2,2.0,1.0,1.0,0.005504587,0.005504587,0.005839706320931722,0,0.0,0,0.018763756810009358
52,jala,11.0,5.833333333333333,601.0,130,4,5,9,9.0,4.0,5.0,0.011009174,0.011009174,0.011374461254791118,0,0.0,0,0.08459810178395608
53,bhaaga,16.0,8.782608695652174,0.0,23,1,0,1,1.0,1.0,0.0,0.0036697248,0.0036697248,0.0032248091747779034,0,0.0,0,0.009724784980627194
54,sthaana,9.0,4.086956521739131,5093.669047619046,27,18,19,37,37.0,18.0,19.0,0.042201836,0.042201836,0.0444600323671607,0,0.004329004329004329,1,1.0
55,bhoomi,8.0,3.9057971014492754,3608.647619047615,28,7,2,9,9.0,7.0,2.0,0.016513761,0.016513761,0.014578144429444382,0,0.0,0,0.4997894257912783
56,chandana,12.0,6.978260869565218,0.0,12,1,0,1,1.0,1.0,0.0,0.0036697248,0.0036697248,0.0031785464894383683,0,0.0,0,0.01407026157284783
57,roshanee,13.0,6.188405797101449,0.0,132,1,1,2,2.0,1.0,1.0,0.0036697248,0.0036697248,0.002468850083228373,0,0.0,0,0.034843135497680575
58,shiva,0.0,0.0,0.0,29,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,24,0.0,0,0.0
59,pakshee,0.0,0.0,0.0,30,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,25,0.0,0,0.0
60,hrudaya,0.0,0.0,0.0,31,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,26,0.0,0,0.0
61,samaadhaana,0.0,0.0,0.0,32,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,27,0.0,0,0.0
62,makabaraa,0.0,0.0,0.0,33,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,28,0.0,0,0.0
63,koharaa,0.0,0.0,0.0,34,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,29,0.0,0,0.0
64,sooraja,11.0,4.992753623188406,0.0,35,1,0,1,1.0,1.0,0.0,0.0036697248,0.0036697248,0.0024806500425170086,0,0.0,0,0.07607264665403941
65,cheetala,14.0,8.673913043478262,0.0,36,1,1,2,2.0,1.0,1.0,0.0036697248,0.0036697248,0.00312252056883126,0,0.0,0,0.012160692486436059
66,`parvata,0.0,0.0,0.0,37,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,30,0.0,0,0.0
67,{peda?peda?aa},0.0,0.0,0.0,38,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,31,0.0,0,0.0
68,pashchima,2.0,1.5,0.0,148,1,1,2,2.0,1.0,1.0,0.0036697248,0.0036697248,0.004225701294329661,32,0.0,0,0.005722534680601902
69,jangala,0.0,0.0,0.0,39,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,33,0.0,0,0.0
70,prachurataa,1.0,1.0,0.0,40,1,1,2,2.0,1.0,1.0,0.0036697248,0.0036697248,0.005483959377841618,34,0.0,0,0.0036756474824905278
71,samudra,12.0,6.826086956521739,0.0,130,1,1,2,2.0,1.0,1.0,0.0036697248,0.0036697248,0.002756385442309381,0,0.0,0,0.02227212937393474
72,patthara,1.0,1.0,0.0,114,0,1,1,1.0,0.0,1.0,0.0036697248,0.0036697248,0.005483959377841618,35,0.0,0,0.0036756474824905278
73,adhikataa,1.0,1.0,0.0,40,1,1,2,2.0,1.0,1.0,0.0036697248,0.0036697248,0.005483959377841618,34,0.0,0,0.0036756474824905278
74,raajaa,11.0,4.760869565217392,1565.5,23,2,2,4,4.0,2.0,2.0,0.0073394496,0.0073394496,0.006875403541843886,0,0.0,0,0.09478442451076254
75,nivaasa,10.0,5.065217391304348,68.0,27,2,2,4,4.0,2.0,2.0,0.005504587,0.005504587,0.004525027721770958,0,0.0,0,0.20211397987443708
76,aaja,14.0,6.884057971014493,0.14285714285714285,132,2,2,4,4.0,2.0,2.0,0.005504587,0.005504587,0.00374261967977767,0,0.0,0,0.08156359177357761
77,masjida,0.0,0.0,0.0,41,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,36,0.0,0,0.0
78,{paudhapaudhaa},0.0,0.0,0.0,42,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,37,0.0,0,0.0
79,prayoga,1.0,1.0,1.0,124,0,2,2,2.0,0.0,2.0,0.005504587,0.005504587,0.008000475544865535,38,0.0,0,0.008499655113398289
80,aavashyakataa,0.0,0.0,0.0,43,0,0,0,0.0,0.0,0.0,0.0,0.0,8.225939066762461E-4,39,0.0,0,0.0
