Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
170,sukshmadarshi,14.0,9.674698795180722,0.0,46,1,1,2,2.0,1.0,1.0,0.002967359,0.002967359,0.0033269229982467803,0,0.0,0,0.00343756648989413
171,svasthya,10.0,3.8132530120481927,0.0,74,1,2,3,3.0,1.0,2.0,0.004451039,0.004451039,0.003130687900187757,0,1.0,1,0.26033715926211226
172,vitarana,9.0,4.156626506024097,0.0,1,1,1,2,2.0,1.0,1.0,0.002967359,0.002967359,0.0024300092005750257,0,0.0,0,0.13525381202071732
173,karyavahi,9.0,4.156626506024097,0.0,1,1,1,2,2.0,1.0,1.0,0.002967359,0.002967359,0.0024300092005750257,0,0.0,0,0.13525381202071732
174,vasa,0.0,0.0,0.0,53,0,0,0,0.0,0.0,0.0,0.0,0.0,7.936508350429094E-4,47,0.0,0,0.0
175,takanika,8.0,4.289156626506024,72.69390331890332,46,1,2,3,3.0,1.0,2.0,0.004451039,0.004451039,0.004111427571463257,0,0.0,0,0.08799409483723049
176,avalokana,9.0,4.156626506024097,0.0,1,1,1,2,2.0,1.0,1.0,0.002967359,0.002967359,0.0024300092005750257,0,0.0,0,0.13525381202071732
177,daurana,10.0,4.259036144578313,0.125,51,0,2,2,2.0,0.0,2.0,0.004451039,0.004451039,0.0030708993228693083,0,0.0,0,0.1138053097881039
178,mapana,9.0,4.156626506024097,0.0,1,1,1,2,2.0,1.0,1.0,0.002967359,0.002967359,0.0024300092005750257,0,0.0,0,0.13525381202071732
179,pachana,10.0,4.409638554216867,0.0,61,0,1,1,1.0,0.0,1.0,0.002967359,0.002967359,0.0024232981273181985,0,0.0,0,0.06468743340375725
180,bardashta,9.0,4.156626506024097,0.0,1,1,1,2,2.0,1.0,1.0,0.002967359,0.002967359,0.0024300092005750257,0,0.0,0,0.13525381202071732
181,shleshma,0.0,0.0,0.0,54,0,0,0,0.0,0.0,0.0,0.0,0.0,7.936508350429094E-4,48,0.0,0,0.0
182,sthulata,10.0,3.8132530120481927,0.0,74,1,2,3,3.0,1.0,2.0,0.004451039,0.004451039,0.003130687900187757,0,1.0,1,0.26033715926211226
183,shabda,10.0,4.373493975903615,492.0,61,4,0,4,4.0,4.0,0.0,0.007418398,0.007418398,0.00970743099232486,0,0.0,0,0.07615970317579641
184,lasika,0.0,0.0,0.0,55,0,0,0,0.0,0.0,0.0,0.0,0.0,7.936508350429094E-4,49,0.0,0,0.0
185,vikirana,10.0,4.409638554216867,0.0,61,0,1,1,1.0,0.0,1.0,0.002967359,0.002967359,0.0024232981273181985,0,0.0,0,0.06468743340375725
