source,target,id,label
3,30,1,1
3,59,2,1
4,14,3,1
4,15,4,1
4,29,5,1
4,32,6,1
4,34,7,1
4,38,8,1
4,55,9,1
4,57,10,1
4,70,11,1
4,73,12,1
4,77,13,1
4,78,14,1
4,83,15,1
4,87,16,1
4,90,17,1
4,94,18,1
4,98,19,1
4,103,20,1
4,110,21,1
4,127,22,1
4,130,23,1
4,133,24,1
4,138,25,1
4,142,26,1
4,147,27,1
4,149,28,1
4,150,29,1
5,6,30,2
5,35,31,1
5,71,32,1
5,119,33,1
6,5,34,2
6,20,35,1
6,50,36,1
6,58,37,1
6,66,38,1
6,71,39,2
6,117,40,1
6,119,41,1
7,9,42,1
7,23,43,1
7,81,44,1
7,113,45,1
9,23,46,1
9,81,47,1
9,113,48,1
12,9,49,1
12,16,50,1
12,24,51,1
12,25,52,1
12,26,53,1
12,41,54,1
12,56,55,1
12,57,56,1
12,62,57,1
12,65,58,1
12,89,59,1
12,95,60,1
12,96,61,1
12,97,62,1
12,102,63,1
12,107,64,1
12,109,65,1
12,124,66,1
12,128,67,1
12,132,68,1
12,140,69,1
14,4,70,1
14,15,71,1
15,4,72,1
15,14,73,1
15,29,74,1
15,32,75,1
15,34,76,1
15,38,77,1
15,55,78,1
15,57,79,1
15,70,80,1
15,73,81,1
15,77,82,1
15,78,83,1
15,83,84,1
15,87,85,1
15,90,86,1
15,94,87,1
15,98,88,1
15,103,89,1
15,110,90,1
15,127,91,1
15,130,92,1
15,133,93,1
15,138,94,1
15,142,95,1
15,147,96,1
15,149,97,1
15,150,98,1
16,12,99,1
16,23,100,1
16,29,101,1
16,136,102,1
16,138,103,1
17,23,104,1
17,64,105,1
17,143,106,1
18,23,107,1
20,6,108,1
20,66,109,1
20,117,110,1
21,19,111,1
21,40,112,1
21,42,113,1
21,63,114,1
21,76,115,1
21,88,116,1
21,96,117,1
21,123,118,1
21,134,119,1
21,141,120,1
23,64,121,1
23,143,122,1
25,12,123,1
25,136,124,1
26,12,125,1
26,136,126,1
30,3,127,1
32,4,128,1
32,15,129,1
32,101,130,1
34,4,131,1
34,15,132,1
35,71,133,2
35,133,134,2
37,46,135,1
38,4,136,1
38,15,137,1
41,35,138,1
41,70,139,1
41,71,140,1
41,134,141,1
41,153,142,1
41,154,143,1
42,21,144,1
42,40,145,1
43,29,146,1
43,75,147,1
43,138,148,1
46,37,149,1
51,23,150,1
55,4,151,1
55,15,152,1
56,12,153,1
56,136,154,1
58,6,155,1
59,3,156,1
59,98,157,1
61,114,158,1
62,12,159,1
62,96,160,1
62,136,161,1
64,17,162,1
64,23,163,1
65,12,164,1
65,136,165,1
65,146,166,1
66,20,167,1
69,23,168,1
71,35,169,2
71,41,170,1
73,4,171,1
73,15,172,1
75,43,173,1
76,21,174,1
76,40,175,1
77,29,176,1
77,138,177,1
78,4,178,1
78,15,179,1
81,7,180,1
81,9,181,1
81,15,182,1
86,93,183,1
87,4,184,1
87,15,185,1
88,21,186,1
88,40,187,1
90,4,188,1
90,15,189,1
94,4,190,1
94,15,191,1
95,12,192,1
95,136,193,1
96,12,194,1
96,136,195,1
97,12,196,1
97,136,197,1
98,4,198,1
98,15,199,1
98,96,200,1
98,127,201,1
98,144,202,1
101,32,203,1
102,12,204,1
102,136,205,1
103,4,206,1
103,15,207,1
104,23,208,1
106,23,209,1
107,12,210,1
107,136,211,1
109,12,212,1
109,136,213,1
110,4,214,1
110,15,215,1
112,29,216,1
112,138,217,1
113,23,218,1
117,6,219,1
118,29,220,1
118,138,221,1
119,6,222,1
124,90,223,1
127,4,224,1
127,15,225,1
128,12,226,1
128,136,227,1
130,4,228,1
130,15,229,1
132,12,230,1
132,136,231,1
133,35,232,2
134,41,233,1
135,144,234,1
136,9,235,1
136,12,236,1
136,16,237,1
136,24,238,1
136,25,239,1
136,26,240,1
136,41,241,1
136,56,242,1
136,57,243,1
136,62,244,1
136,65,245,1
136,89,246,1
136,95,247,1
136,96,248,1
136,97,249,1
136,102,250,1
136,107,251,1
136,109,252,1
136,124,253,1
136,128,254,1
136,132,255,1
136,140,256,1
137,29,257,1
137,138,258,1
141,21,259,1
141,40,260,1
142,4,261,1
142,15,262,1
143,8,263,1
143,17,264,1
143,23,265,1
144,135,266,1
146,65,267,1
147,4,268,1
147,15,269,1
149,4,270,1
149,15,271,1
150,4,272,1
150,15,273,1
151,29,274,1
151,138,275,1
152,37,276,1
152,38,277,1
152,142,278,1
153,41,279,1
154,41,280,1
155,29,281,1
155,138,282,1
