Id,Label,Source,Target,Weight,In-Degree,Out-Degree,Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient
43,bhe.Diye,,,,0,0,0,0.0,0.0,0.0,27,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,31,0.0
44,sharada,,,,1,0,1,4.0,2.5,0.0,81,1.0,1.0,0.0,0.003407155,0.003407155,0.0014588502122261635,23,0.0
45,paricaya,,,,3,0,3,10.0,4.138888888888889,10.125,7,3.0,3.0,0.0,0.00681431,0.00681431,0.0027180730871819215,0,0.6666666666666666
46,apraila,,,,0,0,0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,32,0.0
47,khela,,,,0,0,0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,33,0.0
48,vishva,,,,0,0,0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,34,0.0
49,pAnIpata,,,,0,0,0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,35,0.0
50,hAla,,,,1,16,17,9.0,3.25,1042.0000000000005,7,17.0,1.0,16.0,0.030664396,0.030664396,0.013781836558595132,0,0.11029411764705882
51,saMsthAnoM,,,,0,0,0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,36,0.0
52,hada,,,,0,1,1,1.0,1.0,0.0,153,1.0,0.0,1.0,0.003407155,0.003407155,0.004565789940223913,37,0.0
53,kAranAmoM,,,,0,0,0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,38,0.0
54,laka.Dabagghe,,,,0,0,0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,39,0.0
55,AdivAsI,,,,0,0,0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,40,0.0
56,daurAna,,,,0,0,0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,41,0.0
57,paMcakulA,,,,0,0,0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,42,0.0
58,vahA.n,,,,4,0,4,8.0,3.513888888888889,0.42857142857142855,128,4.0,4.0,0.0,0.008517887,0.008517887,0.003312426970468428,0,0.0
59,vikAsa,,,,3,0,3,10.0,4.138888888888889,10.125,7,3.0,3.0,0.0,0.00681431,0.00681431,0.0027180730871819215,0,0.6666666666666666
60,jaMgaloM,,,,0,0,0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,43,0.0
61,samarpaNa,,,,0,0,0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,44,0.0
62,paramparA,,,,0,0,0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,45,0.0
63,dau.Dane,,,,0,0,0,0.0,0.0,0.0,41,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,46,0.0
64,shilpakAroM,,,,0,0,0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,47,0.0
65,hiraNa,,,,1,0,1,3.0,2.0,0.0,47,1.0,1.0,0.0,0.003407155,0.003407155,0.0025582230276952386,48,0.0
66,bAzAroM,,,,4,0,4,8.0,3.513888888888889,0.42857142857142855,128,4.0,4.0,0.0,0.008517887,0.008517887,0.003312426970468428,0,0.0
67,pyAsa,,,,0,0,0,0.0,0.0,0.0,43,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,49,0.0
68,jAnavara,,,,0,4,4,2.0,1.2,7.5,47,4.0,0.0,4.0,0.008517887,0.008517887,0.008841685392835396,48,0.0
69,sikkima,,,,1,0,1,9.0,4.513888888888889,0.0,185,1.0,1.0,0.0,0.003407155,0.003407155,0.0017922348556521778,0,0.0
70,desha,,,,1,0,1,8.0,3.888888888888889,0.0,185,1.0,1.0,0.0,0.003407155,0.003407155,0.0014440409630549094,0,0.0
71,yAdoM,,,,0,0,0,0.0,0.0,0.0,44,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,50,0.0
72,khIMcane,,,,0,0,0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,51,0.0
73,vividhatA,,,,3,0,3,10.0,4.138888888888889,10.125,7,3.0,3.0,0.0,0.00681431,0.00681431,0.0027180730871819215,0,0.6666666666666666
74,cAya,,,,0,0,0,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,52,0.0
75,suara,,,,1,0,1,3.0,2.0,0.0,47,1.0,1.0,0.0,0.003407155,0.003407155,0.0025582230276952386,48,0.0
76,pakShI,,,,0,3,3,1.0,1.0,3.0,48,3.0,0.0,3.0,0.00681431,0.00681431,0.008755582747216871,26,0.0
77,dillI,,,,1,0,1,2.0,1.5,0.0,211,1.0,1.0,0.0,0.003407155,0.003407155,0.003518341738475675,53,0.0
78,baragada,,,,1,0,1,2.0,1.8333333333333333,0.0,194,1.0,1.0,0.0,0.003407155,0.003407155,0.0028200429373101818,17,0.0
79,bhUmi,,,,4,5,9,7.0,3.0416666666666665,435.4285714285715,185,9.0,4.0,5.0,0.017035775,0.017035775,0.007794230783375928,0,0.1388888888888889
80,nadI,,,,3,1,4,9.0,4.25,275.5,199,7.0,6.0,1.0,0.008517887,0.008517887,0.006233645802323056,0,0.0
81,samajhane,,,,0,0,0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,54,0.0
82,jAdU,,,,0,0,0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,55,0.0
83,yamunA,,,,1,0,1,10.0,5.236111111111111,0.0,199,1.0,1.0,0.0,0.003407155,0.003407155,0.0019975073364691866,0,0.0
84,dharmashAlA,,,,0,0,0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,56,0.0
85,uttara,,,,0,0,0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,57,0.0
86,prayAsoM,,,,0,0,0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,58,0.0
87,jIpa,,,,0,0,0,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,59,0.0
88,coTiyoM,,,,0,0,0,0.0,0.0,0.0,55,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,60,0.0
89,relagA.DI,,,,0,0,0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,61,0.0
90,cama.De,,,,0,0,0,0.0,0.0,0.0,57,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,62,0.0
91,bharatapura,,,,0,0,0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,63,0.0
92,prekShakoM,,,,0,0,0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,64,0.0
93,bIkAnera,,,,0,0,0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0,6.63136944140414E-4,65,0.0
