source,target,id,weight
1,2,1,1
1,118,2,1
1,135,3,1
1,180,4,1
2,1,5,1
2,24,6,1
2,30,7,1
2,35,8,1
2,41,9,1
2,59,10,1
2,61,11,1
2,107,12,1
2,118,13,1
2,119,14,1
2,130,15,1
2,133,16,1
2,135,17,1
2,147,18,1
2,153,19,1
2,154,20,1
2,167,21,1
2,184,22,1
2,187,23,1
2,201,24,1
2,202,25,1
2,208,26,1
2,229,27,1
4,37,28,1
5,55,29,1
5,64,30,1
5,70,31,1
5,73,32,1
5,82,33,1
5,88,34,1
5,150,35,1
5,195,36,1
7,22,37,1
7,26,38,1
7,36,39,1
7,41,40,1
7,42,41,1
7,54,42,1
7,59,43,1
7,65,44,1
7,67,45,1
7,68,46,1
7,90,47,1
7,95,48,1
7,126,49,1
7,154,50,1
7,168,51,1
7,169,52,1
7,182,53,1
7,193,54,1
7,203,55,1
7,205,56,1
7,210,57,1
7,215,58,1
7,225,59,1
7,232,60,1
8,85,61,1
8,149,62,1
8,196,63,1
9,202,64,1
9,219,65,1
10,122,66,2
13,133,67,2
13,143,68,1
17,192,69,1
17,202,70,1
19,31,71,1
19,33,72,1
19,56,73,1
19,58,74,1
19,79,75,1
19,93,76,1
19,111,77,1
19,113,78,1
19,145,79,1
19,152,80,1
19,173,81,1
19,174,82,1
19,211,83,1
19,212,84,1
19,225,85,1
19,231,86,1
20,187,87,2
22,7,88,1
24,2,89,1
24,78,90,1
24,108,91,1
24,122,92,1
24,136,93,1
24,143,94,1
24,202,95,1
24,210,96,1
24,216,97,1
25,202,98,1
26,7,99,1
27,34,100,1
30,2,101,1
31,19,102,1
31,57,103,1
31,58,104,1
31,66,105,1
31,140,106,1
31,166,107,1
31,173,108,1
31,231,109,1
33,19,110,1
33,173,111,1
33,231,112,1
34,27,113,1
35,2,114,1
36,7,115,1
37,4,116,1
37,57,117,1
37,195,118,1
37,234,119,1
38,39,120,2
39,38,121,2
39,47,122,2
40,63,123,1
41,2,124,1
42,7,125,1
43,117,126,2
43,135,127,2
44,98,128,1
46,47,129,1
46,77,130,1
47,39,131,2
47,81,132,1
47,132,133,1
48,143,134,1
51,47,135,1
51,77,136,1
54,7,137,1
55,5,138,1
55,164,139,1
56,226,140,1
58,31,141,1
59,7,142,1
61,2,143,1
62,44,144,1
62,124,145,1
62,223,146,1
63,40,147,1
63,86,148,1
64,5,149,1
64,164,150,1
65,7,151,1
66,31,152,1
67,76,153,1
67,194,154,1
67,226,155,1
68,7,156,1
72,76,157,1
76,67,158,1
76,72,159,1
77,27,160,1
77,46,161,1
77,47,162,1
77,51,163,1
77,81,164,1
77,132,165,1
77,197,166,1
77,231,167,1
78,24,168,1
78,202,169,1
79,19,170,1
79,60,171,1
79,173,172,1
79,231,173,1
81,47,174,1
81,77,175,1
82,5,176,1
82,164,177,1
83,205,178,1
85,202,179,1
86,63,180,1
88,5,181,1
88,164,182,1
90,7,183,1
91,217,184,1
92,98,185,2
93,19,186,1
93,173,187,1
93,231,188,1
96,7,189,1
96,202,190,1
105,164,191,1
107,2,192,1
111,19,193,1
111,173,194,1
111,231,195,1
113,19,196,1
113,173,197,1
113,231,198,1
117,43,199,2
117,143,200,1
118,1,201,1
119,2,202,1
122,10,203,2
124,6,204,1
124,44,205,1
124,62,206,1
124,85,207,1
124,196,208,1
124,220,209,1
124,222,210,1
124,223,211,1
124,233,212,1
124,236,213,1
126,7,214,1
126,232,215,1
130,2,216,1
130,188,217,1
132,19,218,1
132,47,219,1
132,77,220,1
132,114,221,1
133,2,222,1
133,13,223,2
135,2,224,1
135,43,225,2
140,31,226,1
143,13,227,1
143,24,228,1
143,48,229,1
143,117,230,1
143,147,231,1
143,157,232,1
143,163,233,1
143,201,234,1
143,202,235,1
144,85,236,1
144,196,237,1
145,19,238,1
145,173,239,1
145,231,240,1
147,13,241,1
150,5,242,1
150,7,243,1
150,70,244,1
150,164,245,1
153,2,246,1
154,2,247,1
156,192,248,1
157,143,249,1
157,197,250,2
164,55,251,1
164,64,252,1
164,70,253,1
164,73,254,1
164,82,255,1
164,88,256,1
164,150,257,1
164,195,258,1
166,31,259,1
167,2,260,1
169,7,261,1
173,19,262,1
173,31,263,1
173,33,264,1
173,56,265,1
173,58,266,1
173,79,267,1
173,93,268,1
173,111,269,1
173,113,270,1
173,145,271,1
173,152,272,1
173,174,273,1
173,211,274,1
173,212,275,1
173,225,276,1
173,231,277,1
174,19,278,1
174,173,279,1
174,231,280,1
180,1,281,1
182,7,282,1
184,2,283,1
187,2,284,1
187,20,285,2
188,130,286,1
190,147,287,1
190,162,288,1
190,201,289,1
191,222,290,1
192,98,291,1
193,7,292,1
194,67,293,1
195,5,294,1
195,164,295,1
196,202,296,1
197,157,297,2
201,13,298,1
202,2,299,1
202,78,300,1
202,108,301,1
202,122,302,1
202,136,303,1
202,143,304,1
202,210,305,1
202,216,306,1
205,83,307,1
208,2,308,1
210,7,309,1
212,19,310,1
212,173,311,1
212,231,312,1
215,7,313,1
216,24,314,1
216,202,315,1
222,44,316,1
222,120,317,2
222,124,318,1
222,191,319,1
222,223,320,1
225,19,321,1
225,173,322,1
225,231,323,1
226,23,324,1
226,56,325,1
226,202,326,1
229,2,327,1
232,7,328,1
233,44,329,1
233,124,330,1
233,223,331,1
234,147,332,1
234,162,333,1
234,201,334,1
