Sentence , Sentance ,id, Relations Weight
S1 , S3 ,1,2
S1 , S4 ,2,2
S1 , S7 ,3,2
S1 , S8 ,4,2
S1 , S15 ,5,2
S1 , S25 ,6,2
S1 , S37 ,7,4
S1 , S38 ,8,2
S1 , S40 ,9,2
S1 , S44 ,10,1
S1 , S45 ,11,1
S1 , S46 ,12,1
S1 , S49 ,13,1
S1 , S51 ,14,1
S1 , S52 ,15,2
S1 , S54 ,16,2
S1 , S56 ,17,3
S1 , S57 ,18,1
S1 , S58 ,19,1
S1 , S59 ,20,2
S1 , S85 ,21,1
S1 , S88 ,22,2
S1 , S89 ,23,1
S1 , S91 ,24,1
S1 , S97 ,25,1
S2 , S3 ,26,4
S2 , S4 ,27,3
S2 , S5 ,28,1
S2 , S7 ,29,3
S2 , S8 ,30,1
S2 , S15 ,31,1
S2 , S25 ,32,1
S2 , S37 ,33,2
S2 , S40 ,34,2
S2 , S45 ,35,3
S2 , S47 ,36,1
S2 , S52 ,37,2
S2 , S54 ,38,1
S2 , S56 ,39,4
S2 , S59 ,40,2
S2 , S71 ,41,1
S2 , S72 ,42,1
S2 , S88 ,43,1
S2 , S97 ,44,1
S3 , S4 ,45,2
S3 , S7 ,46,2
S3 , S10 ,47,1
S3 , S14 ,48,1
S3 , S21 ,49,1
S3 , S28 ,50,1
S3 , S33 ,51,3
S3 , S36 ,52,1
S3 , S37 ,53,1
S3 , S40 ,54,2
S3 , S46 ,55,1
S3 , S49 ,56,1
S3 , S51 ,57,3
S3 , S52 ,58,2
S3 , S54 ,59,1
S3 , S56 ,60,3
S3 , S58 ,61,1
S3 , S59 ,62,2
S3 , S63 ,63,2
S3 , S91 ,64,1
S3 , S93 ,65,2
S4 , S5 ,66,4
S4 , S6 ,67,4
S4 , S7 ,68,1
S4 , S8 ,69,1
S4 , S9 ,70,2
S4 , S10 ,71,2
S4 , S12 ,72,2
S4 , S14 ,73,1
S4 , S20 ,74,1
S4 , S21 ,75,1
S4 , S28 ,76,1
S4 , S30 ,77,3
S4 , S31 ,78,1
S4 , S35 ,79,1
S4 , S36 ,80,3
S4 , S37 ,81,1
S4 , S39 ,82,1
S4 , S44 ,83,1
S4 , S47 ,84,3
S4 , S48 ,85,3
S4 , S49 ,86,1
S4 , S51 ,87,2
S4 , S52 ,88,2
S4 , S53 ,89,1
S4 , S54 ,90,2
S4 , S56 ,91,1
S4 , S57 ,92,2
S4 , S59 ,93,2
S4 , S61 ,94,1
S4 , S62 ,95,1
S4 , S63 ,96,2
S4 , S64 ,97,1
S4 , S68 ,98,2
S4 , S70 ,99,1
S4 , S71 ,100,1
S4 , S72 ,101,1
S4 , S73 ,102,2
S4 , S78 ,103,1
S4 , S84 ,104,1
S4 , S93 ,105,1
S4 , S94 ,106,1
S4 , S95 ,107,1
S5 , S7 ,108,4
S5 , S8 ,109,1
S5 , S9 ,110,1
S5 , S13 ,111,2
S5 , S15 ,112,1
S5 , S17 ,113,1
S5 , S25 ,114,1
S5 , S29 ,115,2
S5 , S30 ,116,6
S5 , S35 ,117,2
S5 , S37 ,118,4
S5 , S40 ,119,2
S5 , S45 ,120,5
S5 , S48 ,121,2
S5 , S49 ,122,1
S5 , S51 ,123,6
S5 , S52 ,124,2
S5 , S53 ,125,2
S5 , S54 ,126,3
S5 , S56 ,127,5
S5 , S57 ,128,7
S5 , S58 ,129,2
S5 , S59 ,130,4
S5 , S60 ,131,4
S5 , S63 ,132,1
S5 , S64 ,133,2
S5 , S68 ,134,4
S5 , S70 ,135,2
S5 , S71 ,136,2
S5 , S72 ,137,3
S5 , S73 ,138,2
S5 , S75 ,139,1
S5 , S84 ,140,1
S5 , S88 ,141,1
S5 , S89 ,142,1
S5 , S90 ,143,1
S5 , S93 ,144,1
S5 , S94 ,145,5
S5 , S95 ,146,3
S5 , S97 ,147,3
S6 , S7 ,148,3
S6 , S9 ,149,1
S6 , S11 ,150,2
S6 , S17 ,151,1
S6 , S22 ,152,1
S6 , S24 ,153,1
S6 , S31 ,154,3
S6 , S32 ,155,2
S6 , S40 ,156,3
S6 , S45 ,157,2
S6 , S47 ,158,1
S6 , S49 ,159,1
S6 , S51 ,160,1
S6 , S52 ,161,5
S6 , S56 ,162,4
S6 , S57 ,163,1
S6 , S59 ,164,5
S6 , S64 ,165,1
S6 , S68 ,166,2
S6 , S73 ,167,2
S6 , S75 ,168,1
S6 , S84 ,169,1
S6 , S85 ,170,1
S6 , S88 ,171,1
S6 , S90 ,172,1
S6 , S91 ,173,1
S7 , S8 ,174,1
S7 , S9 ,175,2
S7 , S10 ,176,2
S7 , S12 ,177,2
S7 , S14 ,178,1
S7 , S20 ,179,1
S7 , S21 ,180,1
S7 , S24 ,181,2
S7 , S28 ,182,1
S7 , S29 ,183,1
S7 , S30 ,184,3
S7 , S31 ,185,1
S7 , S35 ,186,1
S7 , S36 ,187,3
S7 , S39 ,188,1
S7 , S40 ,189,1
S7 , S44 ,190,1
S7 , S47 ,191,3
S7 , S48 ,192,3
S7 , S49 ,193,3
S7 , S51 ,194,4
S7 , S52 ,195,3
S7 , S53 ,196,1
S7 , S54 ,197,2
S7 , S56 ,198,1
S7 , S57 ,199,2
S7 , S59 ,200,3
S7 , S61 ,201,1
S7 , S62 ,202,1
S7 , S63 ,203,2
S7 , S64 ,204,1
S7 , S68 ,205,2
S7 , S70 ,206,1
S7 , S71 ,207,1
S7 , S72 ,208,1
S7 , S73 ,209,2
S7 , S78 ,210,1
S7 , S84 ,211,1
S7 , S91 ,212,2
S7 , S93 ,213,1
S7 , S94 ,214,1
S7 , S95 ,215,1
S8 , S12 ,216,1
S8 , S13 ,217,1
S8 , S15 ,218,1
S8 , S16 ,219,1
S8 , S19 ,220,1
S8 , S20 ,221,1
S8 , S21 ,222,1
S8 , S23 ,223,1
S8 , S24 ,224,3
S8 , S25 ,225,2
S8 , S30 ,226,2
S8 , S31 ,227,3
S8 , S34 ,228,1
S8 , S37 ,229,5
S8 , S38 ,230,1
S8 , S40 ,231,2
S8 , S41 ,232,2
S8 , S44 ,233,1
S8 , S45 ,234,3
S8 , S49 ,235,4
S8 , S51 ,236,5
S8 , S52 ,237,2
S8 , S54 ,238,1
S8 , S56 ,239,3
S8 , S57 ,240,3
S8 , S59 ,241,1
S8 , S60 ,242,1
S8 , S63 ,243,1
S8 , S64 ,244,1
S8 , S66 ,245,1
S8 , S68 ,246,1
S8 , S69 ,247,1
S8 , S73 ,248,2
S8 , S75 ,249,1
S8 , S77 ,250,1
S8 , S84 ,251,1
S8 , S86 ,252,2
S8 , S87 ,253,2
S8 , S88 ,254,1
S8 , S89 ,255,1
S8 , S91 ,256,3
S8 , S92 ,257,1
S9 , S25 ,258,1
S9 , S40 ,259,1
S9 , S46 ,260,1
S9 , S49 ,261,1
S9 , S51 ,262,1
S9 , S52 ,263,1
S9 , S56 ,264,2
S9 , S57 ,265,3
S9 , S58 ,266,1
S9 , S59 ,267,1
S9 , S91 ,268,1
S10 , S24 ,269,1
S10 , S29 ,270,1
S10 , S31 ,271,1
S10 , S35 ,272,1
S10 , S40 ,273,2
S10 , S45 ,274,2
S10 , S48 ,275,2
S10 , S49 ,276,3
S10 , S51 ,277,2
S10 , S52 ,278,2
S10 , S56 ,279,2
S10 , S57 ,280,5
S10 , S59 ,281,2
S10 , S60 ,282,1
S10 , S64 ,283,1
S10 , S84 ,284,1
S10 , S91 ,285,2
S11 , S25 ,286,1
S11 , S29 ,287,1
S11 , S31 ,288,2
S11 , S33 ,289,1
S11 , S35 ,290,1
S11 , S46 ,291,1
S11 , S49 ,292,3
S11 , S51 ,293,3
S11 , S56 ,294,1
S11 , S57 ,295,1
S11 , S58 ,296,1
S11 , S91 ,297,3
S12 , S15 ,298,1
S12 , S19 ,299,1
S12 , S25 ,300,1
S12 , S37 ,301,2
S12 , S40 ,302,2
S12 , S49 ,303,1
S12 , S51 ,304,1
S12 , S52 ,305,2
S12 , S54 ,306,1
S12 , S56 ,307,2
S12 , S59 ,308,2
S12 , S88 ,309,1
S12 , S91 ,310,1
S13 , S15 ,311,1
S13 , S25 ,312,2
S13 , S33 ,313,1
S13 , S37 ,314,2
S13 , S53 ,315,1
S13 , S54 ,316,1
S13 , S72 ,317,1
S13 , S88 ,318,1
S14 , S33 ,319,1
S14 , S47 ,320,1
S14 , S71 ,321,1
S15 , S16 ,322,1
S15 , S19 ,323,1
S15 , S20 ,324,1
S15 , S21 ,325,1
S15 , S23 ,326,1
S15 , S24 ,327,1
