Sentence , Sentance ,id, Relations Weight
S1 , S38 ,1,1
S1 , S44 ,2,1
S1 , S54 ,3,1
S1 , S56 ,4,1
S1 , S69 ,5,1
S2 , S3 ,6,3
S2 , S4 ,7,3
S2 , S5 ,8,3
S2 , S6 ,9,2
S2 , S12 ,10,1
S2 , S14 ,11,1
S2 , S17 ,12,1
S2 , S18 ,13,2
S2 , S42 ,14,1
S2 , S43 ,15,1
S2 , S44 ,16,1
S2 , S46 ,17,1
S2 , S52 ,18,1
S2 , S53 ,19,2
S2 , S54 ,20,3
S2 , S55 ,21,2
S2 , S56 ,22,1
S2 , S58 ,23,1
S2 , S62 ,24,3
S2 , S71 ,25,1
S2 , S74 ,26,1
S2 , S78 ,27,1
S3 , S4 ,28,4
S3 , S5 ,29,2
S3 , S6 ,30,2
S3 , S7 ,31,1
S3 , S12 ,32,3
S3 , S13 ,33,1
S3 , S14 ,34,1
S3 , S17 ,35,1
S3 , S18 ,36,2
S3 , S26 ,37,1
S3 , S27 ,38,1
S3 , S28 ,39,1
S3 , S40 ,40,2
S3 , S43 ,41,3
S3 , S44 ,42,5
S3 , S45 ,43,1
S3 , S46 ,44,2
S3 , S50 ,45,2
S3 , S51 ,46,1
S3 , S52 ,47,2
S3 , S53 ,48,2
S3 , S54 ,49,1
S3 , S58 ,50,2
S3 , S60 ,51,2
S3 , S61 ,52,1
S3 , S62 ,53,3
S3 , S63 ,54,2
S3 , S64 ,55,1
S3 , S65 ,56,1
S4 , S5 ,57,2
S4 , S6 ,58,2
S4 , S7 ,59,1
S4 , S9 ,60,2
S4 , S12 ,61,2
S4 , S13 ,62,1
S4 , S14 ,63,1
S4 , S17 ,64,1
S4 , S18 ,65,1
S4 , S26 ,66,1
S4 , S27 ,67,1
S4 , S28 ,68,1
S4 , S45 ,69,1
S4 , S46 ,70,1
S4 , S51 ,71,3
S4 , S52 ,72,1
S4 , S54 ,73,3
S4 , S56 ,74,2
S4 , S58 ,75,2
S4 , S60 ,76,2
S4 , S61 ,77,1
S4 , S62 ,78,1
S4 , S63 ,79,2
S4 , S64 ,80,1
S4 , S65 ,81,1
S4 , S87 ,82,4
S5 , S6 ,83,2
S5 , S7 ,84,1
S5 , S12 ,85,3
S5 , S13 ,86,1
S5 , S14 ,87,1
S5 , S17 ,88,1
S5 , S18 ,89,1
S5 , S26 ,90,1
S5 , S27 ,91,1
S5 , S28 ,92,1
S5 , S45 ,93,1
S5 , S46 ,94,1
S5 , S51 ,95,1
S5 , S52 ,96,1
S5 , S54 ,97,1
S5 , S58 ,98,2
S5 , S60 ,99,2
S5 , S61 ,100,2
S5 , S62 ,101,1
S5 , S63 ,102,2
S5 , S64 ,103,1
S5 , S65 ,104,1
S6 , S12 ,105,2
S6 , S14 ,106,1
S6 , S17 ,107,1
S6 , S18 ,108,1
S6 , S19 ,109,1
S6 , S30 ,110,1
S6 , S42 ,111,1
S6 , S54 ,112,1
S6 , S56 ,113,1
S6 , S58 ,114,1
S6 , S61 ,115,1
S6 , S62 ,116,1
S6 , S71 ,117,1
S6 , S74 ,118,1
S6 , S78 ,119,1
S7 , S12 ,120,1
S7 , S14 ,121,1
S7 , S17 ,122,1
S7 , S18 ,123,1
S7 , S58 ,124,1
S7 , S62 ,125,1
S7 , S63 ,126,1
S9 , S12 ,127,2
S9 , S14 ,128,2
S9 , S15 ,129,1
S9 , S16 ,130,1
S9 , S18 ,131,2
S9 , S19 ,132,1
S9 , S20 ,133,1
S9 , S24 ,134,1
S9 , S29 ,135,1
S9 , S32 ,136,2
S9 , S34 ,137,1
S9 , S40 ,138,2
S9 , S42 ,139,1
S9 , S43 ,140,4
S9 , S44 ,141,8
S9 , S46 ,142,3
S9 , S50 ,143,2
S9 , S51 ,144,1
S9 , S52 ,145,2
S9 , S53 ,146,2
S9 , S54 ,147,2
S9 , S56 ,148,1
S9 , S62 ,149,2
S9 , S63 ,150,2
S9 , S66 ,151,1
S9 , S69 ,152,1
S9 , S81 ,153,3
S9 , S83 ,154,1
S9 , S87 ,155,1
S10 , S12 ,156,2
S10 , S14 ,157,1
S10 , S24 ,158,1
S10 , S29 ,159,1
S10 , S32 ,160,1
S10 , S63 ,161,2
S10 , S81 ,162,1
S11 , S34 ,163,1
S11 , S36 ,164,1
S11 , S42 ,165,1
S11 , S44 ,166,1
S11 , S47 ,167,1
S11 , S61 ,168,1
S11 , S74 ,169,1
S11 , S75 ,170,1
S12 , S13 ,171,3
S12 , S14 ,172,1
S12 , S17 ,173,1
S12 , S18 ,174,1
S12 , S23 ,175,2
S12 , S26 ,176,1
S12 , S27 ,177,1
S12 , S28 ,178,1
S12 , S35 ,179,2
S12 , S36 ,180,1
S12 , S37 ,181,2
S12 , S39 ,182,4
S12 , S45 ,183,1
S12 , S46 ,184,1
S12 , S51 ,185,1
S12 , S52 ,186,1
S12 , S54 ,187,2
S12 , S55 ,188,1
S12 , S58 ,189,2
S12 , S60 ,190,2
S12 , S61 ,191,1
S12 , S62 ,192,1
S12 , S63 ,193,2
S12 , S64 ,194,1
S12 , S65 ,195,3
S13 , S25 ,196,2
S13 , S26 ,197,2
S13 , S54 ,198,1
S13 , S56 ,199,1
S13 , S63 ,200,2
S14 , S15 ,201,3
S14 , S16 ,202,1
S14 , S18 ,203,1
S14 , S19 ,204,1
S14 , S20 ,205,1
S14 , S23 ,206,1
S14 , S24 ,207,1
S14 , S26 ,208,1
S14 , S27 ,209,2
S14 , S28 ,210,2
S14 , S29 ,211,1
S14 , S30 ,212,1
S14 , S32 ,213,1
S14 , S34 ,214,3
S14 , S36 ,215,2
S14 , S38 ,216,1
S14 , S40 ,217,3
S14 , S41 ,218,1
S14 , S42 ,219,5
S14 , S43 ,220,3
S14 , S44 ,221,7
S14 , S45 ,222,2
S14 , S46 ,223,5
S14 , S47 ,224,2
S14 , S48 ,225,1
S14 , S50 ,226,2
S14 , S51 ,227,1
S14 , S52 ,228,2
S14 , S53 ,229,1
S14 , S54 ,230,2
S14 , S58 ,231,2
S14 , S60 ,232,2
