Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Modularity Class,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
202,prayAsoM,13.0,6.466666666666667,0.0,1,0,1,1.0,1.0,0.0,77,0.0030395137,0.0030395137,0.0020926518289273934,4,0.0,0,0.16192817742649443
203,nukasAna,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,106,0.0,0.0,5.781744264857095E-4,108,0.0,0,0.0
204,videsha,1.0,1.0,0.0,1,0,1,1.0,1.0,0.0,107,0.0030395137,0.0030395137,0.0040021946104086695,105,0.0,0,0.0028517556991628206
205,saMgraha,13.0,6.466666666666667,0.0,1,0,1,1.0,1.0,0.0,77,0.0030395137,0.0030395137,0.0020926518289273934,4,0.0,0,0.16192817742649443
206,dakhala,1.0,1.0,0.0,2,0,2,2.0,2.0,0.0,108,0.0045592706,0.0045592706,0.002167536386827745,104,1.0,1,0.012859900338573189
207,nAmakaraNa,13.0,6.466666666666667,0.0,1,0,1,1.0,1.0,0.0,77,0.0030395137,0.0030395137,0.0020926518289273934,4,0.0,0,0.16192817742649443
208,uttarI,9.0,5.114285714285714,516.9666666666669,3,0,3,3.0,3.0,0.0,99,0.0060790274,0.0060790274,0.003083000247872519,4,0.0,0,0.11318548576746001
209,unmUlana,13.0,6.466666666666667,0.0,1,0,1,1.0,1.0,0.0,77,0.0030395137,0.0030395137,0.0020926518289273934,4,0.0,0,0.16192817742649443
210,patana,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,109,0.0,0.0,5.781744264857095E-4,109,0.0,0,0.0
211,janasaMkhyA,3.0,2.727272727272727,0.0,1,0,1,1.0,1.0,0.0,42,0.0030395137,0.0030395137,0.00247925400816229,5,0.0,0,0.007747629982040017
212,chavi,13.0,7.704761904761905,5.058823529411759,2,0,2,2.0,2.0,0.0,79,0.0045592706,0.0045592706,0.002380878554866499,4,0.0,0,0.18914258535542486
213,hissA,11.0,5.533333333333333,228.50000000000009,4,8,12,12.0,4.0,8.0,87,0.016717326,0.016717326,0.006894842736284001,4,0.4,18,0.6377319789170162
214,yUesa,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,110,0.0,0.0,5.781744264857095E-4,110,0.0,0,0.0
215,kalA,12.0,6.457142857142857,106.50000000000001,0,7,7,7.0,0.0,7.0,87,0.012158055,0.012158055,0.005350426269528826,4,0.23809523809523808,5,0.3475902423428513
216,bodha,12.0,7.019047619047619,606.0,0,5,5,5.0,0.0,5.0,15,0.009118541,0.009118541,0.008409023318620467,4,0.0,0,0.07087817371212028
217,krama,13.0,7.704761904761905,5.058823529411759,2,0,2,2.0,2.0,0.0,79,0.0045592706,0.0045592706,0.002380878554866499,4,0.0,0,0.18914258535542486
218,AraMbha,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,111,0.0,0.0,5.781744264857095E-4,111,0.0,0,0.0
219,brAjIla,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,112,0.0,0.0,5.781744264857095E-4,112,0.0,0,0.0
220,bhaviShya,12.0,7.114285714285714,1.0,2,0,2,2.0,2.0,0.0,63,0.0045592706,0.0045592706,0.0025018009868375286,4,0.0,0,0.0905263343128587
221,ora,14.0,8.657142857142857,0.0,1,0,1,1.0,1.0,0.0,79,0.0030395137,0.0030395137,0.0017180025756967875,4,0.0,0,0.034528598125348364
222,vishva,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,113,0.0,0.0,5.781744264857095E-4,113,0.0,0,0.0
223,phrAMsa,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,114,0.0,0.0,5.781744264857095E-4,114,0.0,0,0.0
224,Treka,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,115,0.0,0.0,5.781744264857095E-4,115,0.0,0,0.0
225,laka.DI,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,116,0.0,0.0,5.781744264857095E-4,116,0.0,0,0.0
226,gaNataMtroM,2.0,1.5,0.0,1,0,1,1.0,1.0,0.0,126,0.0030395137,0.0030395137,0.003075491095091585,76,0.0,0,0.004194449617308558
227,aDDA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,117,0.0,0.0,5.781744264857095E-4,117,0.0,0,0.0
228,pa.DosI,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,118,0.0,0.0,5.781744264857095E-4,118,0.0,0,0.0
229,hariyAlI,1.0,1.0,0.0,1,0,1,1.0,1.0,0.0,128,0.0030395137,0.0030395137,0.0040021946104086695,119,0.0,0,0.0028517556991628206
230,Ashcarya,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,119,0.0,0.0,5.781744264857095E-4,120,0.0,0,0.0
