Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
1,S1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0017361120394602133,0,0.0,0,0.0
2,S2,3.0,1.9518072289156627,9.026885389513192,5,0,12,12,12.0,0.0,12.0,0.0065458207,0.0065458207,0.00695182809550144,1,0.7272727272727273,48,0.23544686433886203
3,S3,4.0,1.7469879518072289,16.29632127086394,13,0,24,24,24.0,0.0,24.0,0.012588117,0.012588117,0.011719325918966827,1,0.5217391304347826,144,0.49971213231061995
4,S4,3.0,1.5060240963855422,58.275794819887956,13,1,41,42,42.0,1.0,41.0,0.02165156,0.02165156,0.019459513111178477,1,0.44947735191637633,387,0.7716324852048259
5,S5,3.0,2.1566265060240966,5.943447901159038,3,0,6,6,6.0,0.0,6.0,0.0035246727,0.0035246727,0.0048246682031464865,1,0.3333333333333333,5,0.07298104162129482
6,S6,4.0,3.072289156626506,0.0,3,0,1,1,1.0,0.0,1.0,0.0010070493,0.0010070493,0.002392555728199696,1,0.0,0,0.004748004993460403
7,S7,3.0,1.4578313253012047,159.77091820270772,5,3,43,46,46.0,3.0,43.0,0.02366566,0.02366566,0.022131263896757136,1,0.37874396135265703,392,0.7711276136378399
8,S8,3.0,1.5903614457831325,67.51389342995516,3,0,36,36,36.0,0.0,36.0,0.018630413,0.018630413,0.018047725071342294,1,0.3888888888888889,245,0.5727555922389207
9,S9,2.0,1.5301204819277108,90.99980670985677,5,2,37,39,39.0,2.0,37.0,0.020140987,0.020140987,0.01859646551399994,1,0.5006747638326585,371,0.7332510749334249
10,S10,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0017361120394602133,2,0.0,0,0.0
11,S11,4.0,2.4819277108433737,0.7397941479738303,5,0,3,3,3.0,0.0,3.0,0.0020140987,0.0020140987,0.0031464330249105945,1,0.0,0,0.03527695333032055
