Id,Label,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
0,ghATiyoM,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,0,0.0,0,0.0
1,parIkShA,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,1,0.0,0,0.0
2,yukti,7.0,3.8793103448275863,0.0,52,1,0,1,1.0,1.0,0.0,0.005221932,0.005221932,0.003074325850433738,2,0.0,0,0.14819364380088376
3,kolakAtA,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,3,0.0,0,0.0
4,vijetA,8.0,4.5,400.0,56,2,0,2,2.0,2.0,0.0,0.007832898,0.007832898,0.006234681879377618,2,0.0,0,0.04787677374341096
5,bhAratIya,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,4,0.0,0,0.0
6,poShaNa,0.0,0.0,0.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,5,0.0,0,0.0
7,prapAtoM,0.0,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,6,0.0,0,0.0
8,sImA,0.0,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,7,0.0,0,0.0
9,samRRiddhi,4.0,2.32,0.923076923076923,148,2,0,2,2.0,2.0,0.0,0.007832898,0.007832898,0.003668771231047744,8,0.0,0,0.28554065701049053
10,udayapura,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,9,0.0,0,0.0
11,saMcAlaka,8.0,4.775862068965517,0.0,56,1,0,1,1.0,1.0,0.0,0.005221932,0.005221932,0.003526427079114212,2,0.0,0,0.029106548418810593
12,varShoM,0.0,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,10,0.0,0,0.0
13,mahotsava,0.0,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,11,0.0,0,0.0
14,dakShiNa,0.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,12,0.0,0,0.0
15,anveShaNa,7.0,3.8448275862068964,57.0,52,1,1,2,2.0,1.0,1.0,0.007832898,0.007832898,0.00612187276367239,2,0.0,0,0.15618359474632892
16,vivaraNa,0.0,0.0,0.0,11,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,13,0.0,0,0.0
17,kShetra,10.0,4.810344827586207,88.0,31,1,3,4,4.0,1.0,3.0,0.01305483,0.01305483,0.010695768894242372,2,0.0,0,0.07732608401917213
18,bhojana,0.0,0.0,0.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,14,0.0,0,0.0
19,baMgalora,0.0,0.0,0.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,15,0.0,0,0.0
20,jIvana,0.0,0.0,0.0,14,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,16,0.0,0,0.0
21,A.nkhoM,0.0,0.0,0.0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,17,0.0,0,0.0
22,disambara,0.0,0.0,0.0,16,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,18,0.0,0,0.0
23,mArgoM,11.0,5.793103448275862,0.0,31,1,0,1,1.0,1.0,0.0,0.005221932,0.005221932,0.003231535534380451,2,0.0,0,0.02181587677521495
24,mumbaI,0.0,0.0,0.0,17,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,19,0.0,0,0.0
25,umasa,0.0,0.0,0.0,18,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,20,0.0,0,0.0
26,koTi,8.0,4.103448275862069,9.5,31,2,0,2,2.0,2.0,0.0,0.007832898,0.007832898,0.00480988825340774,2,0.0,0,0.0679270987378665
27,karnATaka,0.0,0.0,0.0,19,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,21,0.0,0,0.0
28,shAsaka,8.0,4.775862068965517,0.0,56,1,0,1,1.0,1.0,0.0,0.005221932,0.005221932,0.003526427079114212,2,0.0,0,0.029106548418810593
29,kumAyU.n,0.0,0.0,0.0,20,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,22,0.0,0,0.0
30,paryaTakoM,0.0,0.0,0.0,21,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,23,0.0,0,0.0
31,rAjasthAna,0.0,0.0,0.0,22,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,24,0.0,0,0.0
32,DrAiviMga,7.0,3.8793103448275863,0.0,52,1,0,1,1.0,1.0,0.0,0.005221932,0.005221932,0.003074325850433738,2,0.0,0,0.14819364380088376
33,abhiyAnoM,7.0,3.8793103448275863,0.0,52,1,0,1,1.0,1.0,0.0,0.005221932,0.005221932,0.003074325850433738,2,0.0,0,0.14819364380088376
34,ghAsa,0.0,0.0,0.0,23,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,25,0.0,0,0.0
35,jAdU,0.0,0.0,0.0,24,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,26,0.0,0,0.0
36,kAra,3.0,2.0,0.0,90,1,0,1,1.0,1.0,0.0,0.005221932,0.005221932,0.004278181093441049,27,0.0,0,0.008207803151949697
37,U.nToM,0.0,0.0,0.0,25,0,0,0,0.0,0.0,0.0,0.0,0.0,9.497409739865096E-4,28,0.0,0,0.0
38,khela,1.0,1.0,6.0,26,0,4,4,4.0,0.0,4.0,0.01305483,0.01305483,0.015486701555202303,29,0.0,0,0.020948397928384627
39,cAlana,7.0,3.8793103448275863,0.0,52,1,0,1,1.0,1.0,0.0,0.005221932,0.005221932,0.003074325850433738,2,0.0,0,0.14819364380088376
