vitamina
anaja
ahara
shuru
patti
anupata
ehasasa
arambha
kama
loga
vyakti
kshamata
mukha
rakta
utaka
paira
dudha
tela
{hathahatha}
koshika
chehara
lala
avastha
phala
gatividhi
karya
muli
upachara
ishara
padartha
chadara
bistara
upaya
matra
samaya
nirmana
anusarana
karela
shikhara
namaka
roga
vishva
makkhana
{masalamasala}
tantra
dana
kami
mansa
pida?a
mahina
saptaha
bhojana
chihna
pani
{angaanga}
bhaga
sharira
dina
angura
parinama
prakasha
badha
mansapeshi
nrityu
vistara
shoragula
udasi
ankha
pitta
bakari
apacha
pratisthapana
dhabba
hridaya
prayoga
vani
avashyakata
rasayanika
karana
phali
papita
paristhiti
visha
drishti
akalana
anta
akara
chamaka
peta
rahata
vishrama
hava
gala
asani
pravaha
aushadhi
jaituna
utpadana
uttejana
pratahkala
urja
piliya
yakrita
vikriti
karbohaidreta
makada?i
kela
kshati
avega
sira
gajara
gaisa
ghanta
dhupa
ghi
thakka
chamada?a
tvacha
kapa
chaya
sharkara
chetavani
vahika
ada?u
janasankhya
jibha
jivana
ubalana
visheshata
tamatara
shaili
tanava
vyayama
sabji
tana
jvara
sansa
avadhi
dala
dimaga?
jau
dopahara
vahika
shira
svachchhata
{vyanjanavyanjana}
taraha
rasa
badama
sanchaya
punaravritti
bala
rogi
bhukha
boja
nahim
madira
gharshana
malai
anta
vajana
muli
ka?pha?i
varsha
upavasa
koshthabaddhata
shreni
sankramana
dhamani
santara
seba
viphalata
udara
michali
ulati
chakotara
vasa
chukandara
baghara
nashapati
durbalata
nibu
panira
vatavarana
pachana
pava
phalahara
upadansha
dekhabhala
salada
kuposhana
karyakrama
bara
sanrachana
kilo
protina
prayogashala
sira
litara
paraheja
vikasa
upabhoga
poshana
niyama
sahana
unmulana
pratikriya
gada?bada?i
bala
aunsa
avartana
roka
adhakapari
anannasa
enima
rasa
ancha
kala
apurti
chida?chida?apana
saphai
harmona
lakshana
pravaha
prakopa
hala
shakahari
subaha
divara
ora
kolina
adhivrikka
tarapha
kuchha
