vitamina
anaja
ahara
samanjasya
shuru
dhyana
anubhava
anumana
kalpana
arambha
kama
loga
vyakti
lauha
shakti
rakta
dirgha
utaka
dudha
tela
kohani
{harahara}
esida
sthiti
phala
upachara
padartha
puraskara
tarika
matra
samaya
vastu
nasika
anugamana
namaka
roga
{masalamasala}
tivrata
kami
mansa
bhavishya
paddhati
darda
mahina
saptaha
visheshajna
bhojana
prayoga
suchi
ghara
jala
{angaanga}
hissa
sharira
dina
angura
parinama
grama
anda
avashoshana
samavesha
kandha
kampakampi
ankha
achara
roti
adhikansha
sujana
parivartana
prayoga
avashyakata
adata
karana
miyada
papita
vaijnanika
tatva
peta
arama
alu
disha
madada
hava
gardana
asara
aushadhi
phurti
koshisha
garara
samasya
ushma
ausata
gala
pyaja
gehum
hatheli
nashta
karbohaidreta
machhali
kela
kshati
atmahatya
dhula
nariyala
gajara
phulagobhi
ghanta
dhupa
ghutana
chana
tvacha
chaya
chavala
shakkara
janavara
prajati
motiyabinda
dhanga
tanava
vyayama
sabja?i
bukhara
tapamana
avadhi
dahi
ninda
avasada
anidra_roga
salaha
peya
mavada
hisaba
prakara
prakriti
pravritti
pramana
bachcha
rasa
gari
vriddhi
sujava
hastakshepa
bija
marija
pechisha
bhapa
bhukha
bhumika
chokara
bhojana
nahim
malai
anta
khuraka
vajana
upayogita
amerika
lahasuna
varsha
vata
upavasa
kabja
shahada
shreni
sankramana
satha
santara
shama
samparka
pathyahara
sardi
seba
svasthya
ulti
kachauri
thakana
kharasha
chhinka
tarabuja
daliya
dasta
daurana
nashapati
kamajori
nimbu
panira
pachana_kriya
palaka
phalahara
pattagobhi
shleshma
yogadana
shalagama
ghava
bara
protina
paraheja
prayoga
sevana
poshana
mamala
gurda
malashaya
niyama
kami
vishanu
vikasa
pahuncha
mala
ghava
sui
ananasa
enima
rasa
golai
vijeta
raktalpata
apurti
pudinga
saphai
lakshana
srava
nalika
khinchava
kalima
sankuchana
mausama
pahalu
darsha
subaha
bhitti
ora
chakkara
shleshma
shvetasara
