Source,Target,id,Weight
20,59,1,1
41,35,2,1
41,122,3,1
42,90,4,1
43,17,5,2
60,59,6,1
61,21,7,1
67,46,8,1
67,124,9,1
69,66,10,1
72,6,11,1
72,16,12,1
72,104,13,1
72,123,14,1
77,20,15,1
77,30,16,1
77,59,17,1
79,18,18,2
83,8,19,1
83,11,20,1
83,15,21,1
83,54,22,1
83,63,23,1
83,95,24,1
83,96,25,2
83,97,26,1
83,100,27,1
83,101,28,1
100,8,29,1
100,11,30,1
100,15,31,1
100,54,32,1
100,63,33,1
100,95,34,1
100,96,35,2
100,97,36,1
102,2,37,1
107,1,38,1
107,119,39,1
116,57,40,1
118,10,41,1
119,1,42,1
119,119,43,1
120,22,44,1
120,39,45,1
120,42,46,1
120,58,47,1
120,72,48,1
120,80,49,1
120,94,50,1
120,111,51,1
